"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 186 0 0 1 NA 39 18 36 13 100 4.77
"2" "kukd" 314 0 0 1 NA 152 19 149 19 100 2.07
"3" "kuku" 1399 0 0 1 NA 731 43 728 45 100 1.91
"4" "pkd" 734 0 0 1 NA 327 28 328 19 100 2.24
"5" "pku" 1514 0 0 1 NA 907 60 900 60 100 1.67
"6" "pp" 14281 0 0 1 NA 3157 79 3156 85 100 4.52
"7" "tdkd" 73 0.04 NA 0.96 NA 40 16 40 15 100 1.82
"8" "tdku" 46 0 0 1 NA 23 7 22 7 100 2
"9" "tdp" 861 0 0 1 NA 387 34 386 26 100 2.22
"10" "tdtd" 168 0.04 NA 0.96 NA 92 30 88 27 100 1.83
"11" "tukd" 63 0.45 NA 0.58 NA 61 11 60 11 100 1.03
"12" "tuku" 1 0.5 NA 0.85 NA 1 1 0 1 100 1
"13" "tup" 316 0.01 NA 0.99 NA 256 32 262 21 100 1.23
"14" "tutd" 61 0.59 NA 0.44 NA 62 10 63 10 100 0.98
"15" "tutu" 2400 0 0 1 NA 1551 65 1543 73 100 1.55
