"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 100 4
"2" "kukd" 19 0.05 NA 0.99 NA 13 4 14 1 100 1.46
"3" "kuku" 15 0.15 NA 0.99 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 99 10 100 8 100 1.55
"5" "pku" 28 0.1 NA 0.96 NA 22 6 24 3 100 1.27
"6" "pp" 660 0 0 1 NA 439 11 440 10 100 1.5
"7" "tdkd" 14 0.15 NA 0.87 NA 10 5 9 4 100 1.4
"8" "tdku" 10 0.02 NA 1 NA 6 2 6 3 100 1.67
"9" "tdp" 206 0 0 1 NA 168 11 167 11 100 1.23
"10" "tdtd" 24 0.15 NA 0.89 NA 18 5 18 6 100 1.33
"11" "tukd" 5 0.53 NA 0.68 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.38 NA 0.86 NA 12 4 13 4 100 1.25
"14" "tutd" 5 0.91 NA 0.25 NA 8 2 9 2 100 0.62
"15" "tutu" 9 0.59 NA 1 NA 9 1 9 0 100 1
