"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 12 4 100 3.08
"2" "kukd" 21 0.1 NA 0.96 NA 16 4 17 3 100 1.31
"3" "kuku" 16 0.31 NA 0.9 NA 15 1 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 70 10 70 6 100 1.43
"5" "pku" 31 0.05 NA 0.98 NA 24 6 27 3 100 1.29
"6" "pp" 227 0 0 1 NA 163 7 163 7 100 1.39
"7" "tdkd" 12 0.54 NA 0.54 NA 12 5 12 4 100 1
"8" "tdku" 5 0.3 NA 0.9 NA 4 1 3 1 100 1.25
"9" "tdp" 93 0.03 NA 0.98 NA 77 9 77 7 100 1.21
"10" "tdtd" 22 0.39 NA 0.68 NA 20 6 20 6 100 1.1
"11" "tukd" 16 0.87 NA 0.13 NA 21 5 22 4 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0.02 NA 1 NA 34 7 37 3 100 1.29
"14" "tutd" 8 1 NA 0 0 21 5 22 4 100 0.38
"15" "tutu" 30 0.05 NA 1 NA 27 2 26 1 100 1.11
