"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.07 NA 0.97 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 69 11 71 10 100 1.51
"3" "kuku" 613 0 0 1 NA 396 34 395 35 100 1.55
"4" "pkd" 187 0 0 1 NA 125 16 126 13 100 1.5
"5" "pku" 722 0 0 1 NA 500 51 505 50 100 1.44
"6" "pp" 1764 0 0 1 NA 1375 50 1378 55 100 1.28
"7" "tdkd" 16 0.56 NA 0.56 NA 16 4 16 4 100 1
"8" "tdku" 39 0.03 NA 0.98 NA 20 8 20 7 100 1.95
"9" "tdp" 298 0.03 NA 0.99 NA 259 25 260 17 100 1.15
"10" "tdtd" 21 0.83 NA 0.21 NA 26 5 26 6 100 0.81
"11" "tukd" 26 0.74 NA 0.34 NA 30 7 29 6 100 0.87
"12" "tuku" 0 1 NA 0.73 NA 0 1 0 0 100 NA
"13" "tup" 177 0.03 NA 0.97 NA 140 23 140 22 100 1.26
"14" "tutd" 62 0.42 NA 0.6 NA 59 15 60 16 100 1.05
"15" "tutu" 1075 0 0 1 NA 780 53 778 53 100 1.38
