"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0.01 NA 1 NA 13 6 12 5 100 2.77
"2" "kukd" 95 0 0 1 NA 44 11 44 10 100 2.16
"3" "kuku" 324 0 0 1 NA 137 16 134 13 100 2.36
"4" "pkd" 175 0 0 1 NA 55 9 55 9 100 3.18
"5" "pku" 266 0 0 1 NA 99 16 100 15 100 2.69
"6" "pp" 1883 0 0 1 NA 296 24 294 21 100 6.36
"7" "tdkd" 33 0 0 1 NA 10 4 10 5 100 3.3
"8" "tdku" 15 0.02 NA 1 NA 5 3 5 3 100 3
"9" "tdp" 101 0 0 1 NA 50 10 49 10 100 2.02
"10" "tdtd" 38 0.01 NA 0.99 NA 19 7 19 6 100 2
"11" "tukd" 23 0.1 NA 0.94 NA 15 5 15 6 100 1.53
"12" "tuku" 0 1 NA 0.84 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 45 11 45 10 100 2.31
"14" "tutd" 15 0.23 NA 0.85 NA 11 4 11 4 100 1.36
"15" "tutu" 236 0 0 1 NA 166 16 164 14 100 1.42
