"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 11 4 11 3 100 3.36
"2" "kukd" 21 0.17 NA 0.93 NA 17 4 17 3 100 1.24
"3" "kuku" 16 0.27 NA 0.89 NA 14 1 14 1 100 1.14
"4" "pkd" 100 0 0 1 NA 69 9 70 7 100 1.45
"5" "pku" 31 0.1 NA 0.97 NA 25 6 27 3 100 1.24
"6" "pp" 227 0 0 1 NA 164 7 164 7 100 1.38
"7" "tdkd" 12 0.51 NA 0.57 NA 12 5 12 4 100 1
"8" "tdku" 5 0.36 NA 0.89 NA 4 2 4 2 100 1.25
"9" "tdp" 93 0.03 NA 0.98 NA 76 10 78 7 100 1.22
"10" "tdtd" 22 0.37 NA 0.71 NA 20 6 21 7 100 1.1
"11" "tukd" 16 0.92 NA 0.08 NA 22 4 23 3 100 0.73
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0 0 1 NA 33 8 36 4 100 1.33
"14" "tutd" 8 1 NA 0.02 NA 20 5 21 3 100 0.4
"15" "tutu" 30 0.05 NA 0.97 NA 27 2 26 1 100 1.11
