"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 28 3 8 NA NA NA
"ku" "kd" 199 3 23 3 NA NA
"ku" "ku" 1221 7 9 9 NA 1
"p" "kd" 482 NA 32 19 NA NA
"p" "ku" 1619 4 5 6 NA 1
"p" "p" 5355 1 12 126 5 5
"td" "kd" 40 NA 4 6 NA NA
"td" "ku" 37 NA NA NA NA NA
"td" "p" 639 NA 2 20 28 NA
"td" "td" 224 NA NA NA 18 14
"tu" "kd" 107 NA 2 1 NA NA
"tu" "ku" 5 NA NA NA NA NA
"tu" "p" 445 NA NA 2 NA NA
"tu" "td" 101 NA NA 1 NA 13
"tu" "tu" 3056 NA NA 12 1 7
"kd" "kd" 35 4 NA NA NA NA
"ku" "kd" 218 NA 21 5 1 NA
"ku" "ku" 1332 14 13 20 1 1
"p" "kd" 462 NA 26 4 NA NA
"p" "ku" 1670 1 4 11 NA 1
"p" "p" 5177 7 10 109 2 NA
"td" "kd" 59 NA 7 NA 5 NA
"td" "ku" 25 NA 1 NA NA NA
"td" "p" 697 NA 2 5 19 1
"td" "td" 93 NA NA NA 5 NA
"tu" "kd" 100 NA 7 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 507 NA 2 3 NA 1
"tu" "td" 112 NA NA NA NA 2
"tu" "tu" 3064 2 1 7 NA 2
"kd" "kd" 100 1 6 5 NA NA
"ku" "kd" 231 2 26 5 NA NA
"ku" "ku" 1243 12 11 17 NA 1
"p" "kd" 530 1 29 17 1 NA
"p" "ku" 1533 8 5 20 NA 1
"p" "p" 5268 3 18 155 3 6
"td" "kd" 26 NA NA NA 2 NA
"td" "ku" 40 NA NA NA 3 NA
"td" "p" 685 NA NA 7 32 NA
"td" "td" 193 NA NA NA NA 3
"tu" "kd" 135 NA 2 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 503 NA NA 3 NA NA
"tu" "td" 142 NA NA NA NA 8
"tu" "tu" 3098 NA NA 9 3 3
"kd" "kd" 36 13 33 9 NA NA
"ku" "kd" 201 12 25 11 1 NA
"ku" "ku" 1355 16 19 19 1 3
"p" "kd" 475 10 51 37 NA NA
"p" "ku" 1644 6 7 23 1 2
"p" "p" 5301 5 23 146 2 1
"td" "kd" 54 NA 13 NA 1 NA
"td" "ku" 30 NA NA NA NA NA
"td" "p" 611 NA 9 5 15 NA
"td" "td" 170 NA NA NA 2 12
"tu" "kd" 123 NA 8 1 NA NA
"tu" "ku" 8 NA NA NA NA NA
"tu" "p" 219 NA 3 5 NA 1
"tu" "td" 109 NA NA NA NA 9
"tu" "tu" 3058 NA NA 7 1 4
"kd" "kd" 39 6 NA 3 NA NA
"ku" "kd" 100 3 23 2 NA NA
"ku" "ku" 1258 12 17 14 1 2
"p" "kd" 481 3 17 14 NA NA
"p" "ku" 1620 13 6 13 NA 1
"p" "p" 5450 6 5 84 3 5
"td" "kd" 49 NA 1 NA NA NA
"td" "ku" 39 NA 1 NA 1 NA
"td" "p" 679 NA NA 11 28 NA
"td" "td" 176 NA NA 1 NA NA
"tu" "kd" 94 1 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 493 NA NA 4 NA NA
"tu" "td" 122 NA NA NA NA 9
"tu" "tu" 3058 NA 2 9 1 5
"kd" "kd" 56 2 1 NA NA NA
"ku" "kd" 229 2 11 3 1 NA
"ku" "ku" 1246 9 8 13 6 NA
"p" "kd" 512 NA 11 19 1 NA
"p" "ku" 1533 3 2 17 3 6
"p" "p" 5294 NA 6 89 5 1
"td" "kd" 48 NA NA 15 1 NA
"td" "ku" 41 NA NA NA NA NA
"td" "p" 626 NA NA 20 36 NA
"td" "td" 139 NA NA 1 12 NA
"tu" "kd" 122 NA 1 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 446 NA NA 5 NA NA
"tu" "td" 139 NA NA NA NA 1
"tu" "tu" 3093 NA NA 11 NA 3
"kd" "kd" 38 7 22 6 NA NA
"ku" "kd" 229 5 25 3 NA NA
"ku" "ku" 1195 16 19 8 NA 3
"p" "kd" 461 10 45 21 NA NA
"p" "ku" 1643 5 2 23 3 2
"p" "p" 5291 16 11 165 1 2
"td" "kd" 52 NA NA 2 2 NA
"td" "ku" 42 NA NA 1 2 1
"td" "p" 649 NA 1 4 17 2
"td" "td" 105 NA NA NA 37 22
"tu" "kd" 136 NA 4 1 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 494 NA NA 3 1 2
"tu" "td" 111 NA NA NA NA 9
"tu" "tu" 2911 NA NA 11 2 8
"kd" "kd" 32 1 24 NA NA NA
"ku" "kd" 251 2 27 9 NA NA
"ku" "ku" 1256 8 14 25 NA 1
"p" "kd" 484 1 31 13 NA NA
"p" "ku" 1505 6 5 22 NA 1
"p" "p" 5201 14 9 136 2 2
"td" "kd" 57 NA NA NA 1 NA
"td" "ku" 40 NA NA NA NA NA
"td" "p" 634 NA NA 1 25 NA
"td" "td" 161 NA NA NA 5 30
"tu" "kd" 89 NA 3 NA NA NA
"tu" "p" 492 NA 2 3 NA 1
"tu" "td" 119 NA NA NA NA 13
"tu" "tu" 3293 NA NA 10 2 5
"kd" "kd" 44 NA 6 2 NA NA
"ku" "kd" 218 2 25 1 NA NA
"ku" "ku" 1311 11 11 14 NA 2
"p" "kd" 485 2 5 5 NA NA
"p" "ku" 1511 3 2 12 NA 2
"p" "p" 5258 2 2 128 4 1
"td" "kd" 49 NA 7 1 NA NA
"td" "ku" 40 NA NA NA 2 NA
"td" "p" 609 NA 1 NA 23 1
"td" "td" 141 NA NA NA 7 NA
"tu" "kd" 108 NA 1 1 NA NA
