"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 136 0 0 1 NA 24 13 22 12 2000 5.67
"2" "kukd" 191 0 0 1 NA 74 14 74 13 2000 2.58
"3" "kuku" 789 0 0 1 NA 320 24 320 22 2000 2.47
"4" "pkd" 416 0 0 1 NA 159 18 159 16 2000 2.62
"5" "pku" 870 0 0 1 NA 395 41 398 30 2000 2.2
"6" "pp" 10342 0 0 1 NA 1442 48 1442 49 2000 7.17
"7" "tdkd" 33 0.0745 NA 0.936 NA 17 10 15 7 2000 1.94
"8" "tdku" 25 0.000499999999999945 0.00749999999999917 1 NA 8 4 8 4 2000 3.12
"9" "tdp" 578 0 0 1 NA 156 17 156 16 2000 3.71
"10" "tdtd" 124 0 0 1 NA 31 19 27 16 2000 4
"11" "tukd" 32 0.3315 NA 0.7185 NA 29 7 29 7 2000 1.1
"12" "tuku" 0 1 NA 0.753 NA 0 1 0 0 2000 NA
"13" "tup" 70 0.965 NA 0.035 NA 105 16 106 13 2000 0.67
"14" "tutd" 29 0.1565 NA 0.8765 NA 23 6 22 6 2000 1.26
"15" "tutu" 1135 0 0 1 NA 604 36 604 36 2000 1.88
