"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0 0 1 NA 21 7 21 7 100 2.14
"2" "kukd" 100 0 0 1 NA 55 12 55 13 100 1.82
"3" "kuku" 113 0 0 1 NA 65 11 65 12 100 1.74
"4" "pkd" 94 0 0 1 NA 32 7 31 7 100 2.94
"5" "pku" 105 0.01 NA 0.99 NA 58 13 59 13 100 1.81
"6" "pp" 3363 0 0 1 NA 128 13 125 13 100 26.27
"7" "tdkd" 1 0.49 NA 0.84 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.86 NA 0 0 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 5 15 4 100 2.53
"10" "tdtd" 17 0.18 NA 0.88 NA 12 5 12 4 100 1.42
"11" "tukd" 0 1 NA 0.67 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.92 NA 0 1 0 0 100 NA
"13" "tup" 39 0 0 1 NA 5 3 5 3 100 7.8
"14" "tutd" 11 0.28 NA 0.8 NA 9 3 9 3 100 1.22
"15" "tutu" 40 0.02 NA 0.98 NA 22 6 22 6 100 1.82
