"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tup" "tutd" "tutu" "tdkd" "tdku" "tukd" "tuku"
18 71 62 18 58 127 11 5 1 5 17 NA NA NA NA
31 65 72 27 48 141 14 15 11 5 20 1 1 1 NA
13 46 55 25 47 126 12 5 9 5 25 1 NA 2 NA
20 66 69 50 65 137 12 10 10 5 23 NA NA NA NA
30 70 66 46 80 146 10 8 7 11 27 NA NA NA NA
24 57 76 33 76 123 20 12 7 9 18 1 1 1 NA
17 56 63 35 49 102 10 8 5 1 19 NA NA NA NA
28 62 61 29 47 128 14 15 6 4 29 1 NA NA NA
15 59 49 28 51 135 20 17 4 11 21 3 NA 4 NA
31 69 62 45 59 130 21 15 4 9 20 2 NA NA NA
17 56 55 20 32 118 11 13 1 7 12 NA NA NA NA
13 63 59 24 55 131 23 13 5 5 17 1 1 1 NA
20 39 70 27 51 119 17 11 9 14 23 NA NA NA NA
14 67 57 29 49 128 10 8 4 8 26 NA 1 1 NA
20 57 78 19 39 133 11 13 5 7 19 NA NA NA 1
26 65 53 44 57 128 11 20 3 9 20 1 NA 3 NA
7 31 52 19 40 122 23 7 2 6 26 NA 1 NA NA
28 66 56 34 42 142 6 3 7 5 27 NA NA 1 NA
19 55 67 51 30 123 22 14 4 8 12 NA NA 1 NA
26 62 70 40 65 110 15 9 4 6 16 NA NA 1 NA
17 25 50 37 61 140 19 14 7 10 19 NA NA 1 NA
21 51 50 23 66 171 16 16 7 19 24 1 NA NA NA
17 49 72 34 59 136 5 18 3 13 19 NA NA NA NA
24 60 53 32 56 123 18 13 11 12 26 NA NA NA NA
19 45 59 21 68 128 20 15 4 10 21 2 NA NA NA
19 61 93 40 83 139 14 14 3 9 22 NA NA 1 1
25 60 60 33 31 143 6 13 5 9 14 NA NA NA NA
26 76 85 30 56 134 22 13 6 8 11 NA NA 1 NA
10 55 86 32 54 140 12 6 3 7 9 NA NA NA NA
22 70 72 30 52 148 22 19 7 11 24 1 NA NA NA
13 47 71 42 66 128 15 8 4 6 25 NA NA NA NA
14 52 81 22 51 129 9 13 3 8 11 NA NA NA NA
32 85 74 33 55 141 10 8 8 19 26 NA NA 1 NA
13 68 82 26 57 129 14 7 3 12 27 NA NA NA NA
14 56 81 16 58 132 15 15 17 3 20 NA NA 1 NA
22 66 78 39 75 112 15 10 7 11 22 NA 1 NA NA
15 63 84 37 80 137 7 9 2 9 24 2 1 1 NA
16 43 55 28 68 131 19 14 3 4 23 NA 1 3 1
17 65 69 29 49 127 12 10 5 3 18 NA NA NA NA
22 54 80 43 60 115 11 21 9 8 17 1 1 NA NA
36 81 95 40 53 133 15 23 7 13 21 NA NA 1 NA
23 45 83 29 49 135 12 8 10 6 26 1 NA 1 NA
29 56 82 41 57 128 20 16 2 5 20 NA 1 NA NA
12 16 57 37 70 114 6 10 1 10 25 2 NA 1 NA
30 58 105 43 69 140 17 11 2 6 19 NA NA NA NA
22 45 51 35 35 121 15 5 10 10 27 NA NA 2 NA
11 37 49 28 71 118 9 9 4 10 12 1 NA 1 NA
21 55 56 26 58 112 17 16 11 10 23 NA NA 1 NA
31 77 63 37 64 138 17 10 7 10 31 NA NA NA NA
26 51 76 47 84 153 15 11 5 8 27 1 NA 1 3
44 87 82 43 65 102 15 13 1 4 21 1 NA NA NA
32 58 74 41 71 118 15 4 1 8 18 NA NA NA NA
34 79 65 48 70 151 22 8 9 11 19 1 NA NA 1
23 54 52 39 21 117 18 10 9 11 24 1 NA NA NA
20 60 79 13 48 130 13 6 9 11 12 NA NA NA NA
13 59 68 28 50 109 10 12 1 11 28 NA NA NA NA
30 75 73 40 58 141 6 11 8 4 21 1 NA NA NA
18 62 75 38 71 128 15 13 16 10 24 NA NA 2 NA
23 65 85 31 61 147 26 26 8 11 27 NA NA NA NA
23 59 66 22 43 138 10 6 7 7 17 NA NA NA NA
24 64 62 36 62 130 14 13 4 7 17 NA NA 1 NA
20 60 70 33 65 135 12 13 7 7 19 NA 1 NA NA
16 21 64 39 63 126 11 11 2 9 17 NA NA 1 NA
31 54 65 35 60 133 19 13 14 7 28 NA NA NA NA
17 48 62 30 43 149 14 8 3 10 23 2 NA NA NA
14 66 74 26 66 158 18 16 3 5 35 NA NA NA NA
9 44 63 40 56 126 13 7 4 13 20 NA NA NA NA
23 61 59 41 64 141 16 6 5 10 25 NA 1 NA NA
21 65 74 32 52 122 17 10 1 6 25 1 NA NA NA
15 43 61 28 62 156 22 14 5 14 17 NA NA NA NA
10 53 66 32 57 132 13 15 8 12 26 1 NA 1 NA
10 44 57 20 61 130 19 17 9 3 28 NA NA NA NA
8 36 83 39 68 147 11 6 1 2 28 NA NA NA NA
22 55 63 36 60 139 19 14 3 10 22 NA NA NA NA
18 71 65 33 72 120 10 6 4 10 13 1 NA NA NA
15 50 51 36 49 118 19 6 8 11 32 1 NA 2 NA
13 51 63 45 61 150 17 3 7 7 18 NA NA NA NA
27 47 55 29 63 163 12 15 6 12 18 NA 1 1 NA
26 69 92 31 55 118 19 14 7 10 33 NA NA NA NA
32 62 65 30 57 133 13 12 6 25 17 NA NA 1 NA
25 76 57 17 74 137 21 6 9 5 19 2 NA 1 NA
9 45 58 33 52 132 5 4 4 9 13 NA 1 NA NA
24 73 92 39 72 128 16 9 3 4 19 2 NA NA NA
27 44 53 27 43 131 21 9 7 10 23 NA NA NA NA
18 67 105 40 73 149 15 9 5 7 26 NA NA NA NA
19 50 70 29 58 120 14 14 12 13 21 1 1 1 NA
18 30 92 25 71 136 9 7 3 8 22 1 NA 2 NA
16 45 62 21 54 135 21 13 12 17 26 NA NA NA NA
23 46 61 40 64 136 21 10 9 9 29 NA NA 1 NA
18 78 84 18 79 157 17 10 4 5 21 1 NA NA NA
10 45 65 30 54 151 14 9 9 11 22 NA 1 NA NA
20 43 62 43 62 136 20 14 3 3 12 1 NA NA NA
25 61 71 36 82 127 23 14 6 6 22 NA 1 1 1
27 70 58 39 48 148 14 9 8 9 23 NA NA NA 1
19 50 60 29 54 142 14 9 3 8 21 1 NA 2 NA
13 27 47 27 53 136 14 7 8 7 20 NA NA NA NA
14 41 70 32 80 145 14 11 2 7 13 NA NA NA NA
14 41 59 31 65 116 20 14 8 9 18 1 NA 1 NA
35 80 62 23 45 125 14 8 8 8 22 1 NA NA NA
30 79 71 46 69 137 19 19 6 6 28 1 NA NA NA
