"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 13 7 11 7 100 2.77
"2" "kukd" 95 0 0 1 NA 45 12 46 12 100 2.11
"3" "kuku" 324 0 0 1 NA 138 17 137 18 100 2.35
"4" "pkd" 175 0 0 1 NA 55 12 55 10 100 3.18
"5" "pku" 266 0 0 1 NA 97 18 98 16 100 2.74
"6" "pp" 1883 0 0 1 NA 304 26 304 27 100 6.19
"7" "tdkd" 33 0 0 1 NA 10 5 10 6 100 3.3
"8" "tdku" 15 0 0 1 NA 5 3 4 3 100 3
"9" "tdp" 101 0 0 1 NA 51 9 50 9 100 1.98
"10" "tdtd" 38 0.01 NA 1 NA 19 7 18 7 100 2
"11" "tukd" 23 0.14 NA 0.9 NA 16 6 16 7 100 1.44
"12" "tuku" 0 1 NA 0.87 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 43 11 43 10 100 2.42
"14" "tutd" 15 0.19 NA 0.87 NA 11 4 10 4 100 1.36
"15" "tutu" 236 0 0 1 NA 168 18 168 15 100 1.4
