"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0.01 NA 0.99 NA 22 8 21 7 100 2.05
"2" "kukd" 100 0 0 1 NA 55 14 54 14 100 1.82
"3" "kuku" 113 0 0 1 NA 68 11 67 10 100 1.66
"4" "pkd" 94 0 0 1 NA 32 8 31 9 100 2.94
"5" "pku" 105 0 0 1 NA 60 13 60 11 100 1.75
"6" "pp" 3363 0 0 1 NA 131 13 132 14 100 25.67
"7" "tdkd" 1 0.41 NA 0.86 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.83 NA 0 0 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 5 15 4 100 2.53
"10" "tdtd" 17 0.14 NA 0.89 NA 12 5 11 4 100 1.42
"11" "tukd" 0 1 NA 0.61 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.95 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 5 3 100 6.5
"14" "tutd" 11 0.26 NA 0.8 NA 9 4 9 3 100 1.22
"15" "tutu" 40 0 0 1 NA 22 5 22 4 100 1.82
