"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.02 NA 0.99 NA 10 3 10 3 100 1.5
"2" "kukd" 104 0 0 1 NA 71 11 71 12 100 1.46
"3" "kuku" 613 0 0 1 NA 399 31 398 33 100 1.54
"4" "pkd" 187 0 0 1 NA 128 15 130 13 100 1.46
"5" "pku" 722 0 0 1 NA 494 55 494 53 100 1.46
"6" "pp" 1764 0 0 1 NA 1374 48 1374 44 100 1.28
"7" "tdkd" 16 0.57 NA 0.51 NA 16 4 16 4 100 1
"8" "tdku" 39 0 0 1 NA 21 8 21 9 100 1.86
"9" "tdp" 298 0.01 NA 0.99 NA 256 23 258 22 100 1.16
"10" "tdtd" 21 0.85 NA 0.19 NA 26 5 26 5 100 0.81
"11" "tukd" 26 0.65 NA 0.41 NA 28 7 28 7 100 0.93
"12" "tuku" 0 1 NA 0.78 NA 0 1 0 0 100 NA
"13" "tup" 177 0.04 NA 0.96 NA 143 23 143 24 100 1.24
"14" "tutd" 62 0.33 NA 0.71 NA 57 11 56 10 100 1.09
"15" "tutu" 1075 0 0 1 NA 768 50 772 55 100 1.4
