"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 12 5 11 4 100 3
"2" "kukd" 95 0 0 1 NA 45 10 46 8 100 2.11
"3" "kuku" 324 0 0 1 NA 133 16 132 16 100 2.44
"4" "pkd" 175 0 0 1 NA 56 11 56 12 100 3.12
"5" "pku" 266 0 0 1 NA 101 15 100 16 100 2.63
"6" "pp" 1883 0 0 1 NA 305 25 304 26 100 6.17
"7" "tdkd" 33 0 0 1 NA 10 5 10 4 100 3.3
"8" "tdku" 15 0.01 NA 1 NA 5 3 4 3 100 3
"9" "tdp" 101 0 0 1 NA 51 10 52 8 100 1.98
"10" "tdtd" 38 0 0 1 NA 18 6 17 6 100 2.11
"11" "tukd" 23 0.08 NA 0.96 NA 14 6 14 6 100 1.64
"12" "tuku" 0 1 NA 0.78 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 46 11 46 10 100 2.26
"14" "tutd" 15 0.26 NA 0.82 NA 12 4 12 5 100 1.25
"15" "tutu" 236 0 0 1 NA 166 17 166 16 100 1.42
