"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.02 NA 1 NA 12 3 12 3 100 1.58
"2" "kukd" 139 0 0 1 NA 95 19 98 16 100 1.46
"3" "kuku" 876 0 0 1 NA 585 40 582 36 100 1.5
"4" "pkd" 299 0 0 1 NA 254 21 254 14 100 1.18
"5" "pku" 1102 0.01 NA 0.99 NA 959 77 962 62 100 1.15
"6" "pp" 4469 0 0 1 NA 3501 78 3502 67 100 1.28
"7" "tdkd" 12 0.84 NA 0.23 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.64 NA 0.39 NA 20 6 20 6 100 0.9
"9" "tdp" 325 0.9 NA 0.11 NA 347 16 348 18 100 0.94
"10" "tdtd" 10 0.99 NA 0.05 NA 17 4 17 3 100 0.59
"11" "tukd" 48 0.75 NA 0.29 NA 53 8 53 9 100 0.91
"12" "tuku" 1 0.4 NA 0.82 NA 1 1 0 0 100 1
"13" "tup" 297 0.69 NA 0.33 NA 309 36 309 30 100 0.96
"14" "tutd" 66 0.61 NA 0.39 NA 68 12 70 13 100 0.97
"15" "tutu" 2397 0 0 1 NA 1545 70 1541 76 100 1.55
