"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 3 11 3 100 4
"2" "kukd" 19 0.05 NA 0.98 NA 13 4 14 2 100 1.46
"3" "kuku" 15 0.13 NA 0.99 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 101 10 101 8 100 1.51
"5" "pku" 28 0.1 NA 0.96 NA 23 5 25 3 100 1.22
"6" "pp" 660 0 0 1 NA 440 9 440 8 100 1.5
"7" "tdkd" 14 0.23 NA 0.86 NA 10 4 10 4 100 1.4
"8" "tdku" 10 0.01 NA 1 NA 6 2 6 3 100 1.67
"9" "tdp" 206 0 0 1 NA 166 12 166 13 100 1.24
"10" "tdtd" 24 0.2 NA 0.84 NA 19 6 18 4 100 1.26
"11" "tukd" 5 0.59 NA 0.71 NA 5 2 5 1 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.47 NA 0.83 NA 13 3 14 1 100 1.15
"14" "tutd" 5 0.83 NA 0.26 NA 7 2 8 3 100 0.71
"15" "tutu" 9 0.77 NA 1 NA 9 0 9 0 100 1
