"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 188 0 0 1 NA 45 16 42 13 100 4.18
"2" "kukd" 350 0 0 1 NA 178 20 177 21 100 1.97
"3" "kuku" 1567 0 0 1 NA 849 45 846 42 100 1.85
"4" "pkd" 800 0 0 1 NA 374 25 372 26 100 2.14
"5" "pku" 1701 0 0 1 NA 1050 77 1052 61 100 1.62
"6" "pp" 15175 0 0 1 NA 3657 94 3661 74 100 4.15
"7" "tdkd" 74 0.04 NA 0.96 NA 46 15 44 13 100 1.61
"8" "tdku" 52 0 0 1 NA 26 7 26 6 100 2
"9" "tdp" 949 0 0 1 NA 463 29 460 27 100 2.05
"10" "tdtd" 175 0.08 NA 0.92 NA 112 37 112 33 100 1.56
"11" "tukd" 75 0.5 NA 0.53 NA 76 13 74 14 100 0.99
"12" "tuku" 1 0.49 NA 0.78 NA 1 1 0 0 100 1
"13" "tup" 375 0 0 1 NA 306 31 306 24 100 1.23
"14" "tutd" 76 0.61 NA 0.42 NA 78 12 78 12 100 0.97
"15" "tutu" 2807 0 0 1 NA 1870 76 1856 69 100 1.5
