"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.1 NA 0.94 NA 24 5 23 4 50 1.38
"2" "kukd" 305 0 0 1 NA 202 23 200 15 50 1.51
"3" "kuku" 1719 0 0 1 NA 1141 64 1146 73 50 1.51
"4" "pkd" 538 0 0 1 NA 405 33 410 23 50 1.33
"5" "pku" 2067 0 0 1 NA 1541 75 1547 83 50 1.34
"6" "pp" 6202 0 0 1 NA 4771 88 4770 92 50 1.3
"7" "tdkd" 35 0.38 NA 0.66 NA 32 9 32 7 50 1.09
"8" "tdku" 52 0.0600000000000001 NA 0.94 NA 36 10 36 10 50 1.44
"9" "tdp" 545 0.22 NA 0.78 NA 522 24 518 27 50 1.04
"10" "tdtd" 44 0.7 NA 0.34 NA 47 6 48 7 50 0.94
"11" "tukd" 102 0.6 NA 0.42 NA 104 16 106 13 50 0.98
"12" "tuku" 1 0.74 NA 0.46 NA 2 2 2 1 50 0.5
"13" "tup" 541 0.12 NA 0.88 NA 503 35 496 41 50 1.08
"14" "tutd" 114 0.66 NA 0.38 NA 121 17 120 14 50 0.94
"15" "tutu" 4146 0 0 1 NA 3031 95 3034 79 50 1.37
