"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 63 22 60 19 100 3.4
"2" "kukd" 438 0 0 1 NA 239 31 240 28 100 1.83
"3" "kuku" 2103 0 0 1 NA 1254 74 1250 83 100 1.68
"4" "pkd" 981 0 0 1 NA 524 31 528 35 100 1.87
"5" "pku" 2297 0 0 1 NA 1578 84 1568 86 100 1.46
"6" "pp" 18008 0 0 1 NA 5472 92 5468 95 100 3.29
"7" "tdkd" 88 0.14 NA 0.87 NA 66 18 61 15 100 1.33
"8" "tdku" 76 0 0 1 NA 39 10 40 10 100 1.95
"9" "tdp" 1205 0 0 1 NA 697 37 701 39 100 1.73
"10" "tdtd" 231 0.11 NA 0.9 NA 175 45 168 42 100 1.32
"11" "tukd" 111 0.44 NA 0.58 NA 111 16 110 16 100 1
"12" "tuku" 1 0.68 NA 0.62 NA 2 2 1 1 100 0.5
"13" "tup" 583 0.01 NA 0.99 NA 494 43 497 36 100 1.18
"14" "tutd" 123 0.61 NA 0.4 NA 126 21 128 19 100 0.98
"15" "tutu" 4391 0 0 1 NA 3170 111 3164 102 100 1.39
