"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.39 NA 0.77 NA 8 3 8 2 100 1.12
"2" "kukd" 155 0 0 1 NA 74 14 74 13 100 2.09
"3" "kuku" 932 0 0 1 NA 452 35 448 36 100 2.06
"4" "pkd" 109 0.59 NA 0.45 NA 110 16 112 11 100 0.99
"5" "pku" 1195 0 0 1 NA 505 45 507 53 100 2.37
"6" "pp" 1478 0 0 1 NA 922 36 921 39 100 1.6
"7" "tdkd" 20 0.01 NA 0.99 NA 10 4 10 4 100 2
"8" "tdku" 30 0 0 1 NA 11 5 11 5 100 2.73
"9" "tdp" 145 0 0 1 NA 110 13 112 10 100 1.32
"10" "tdtd" 11 0.54 NA 0.56 NA 11 3 11 3 100 1
"11" "tukd" 35 0.16 NA 0.85 NA 27 7 28 8 100 1.3
"12" "tuku" 1 0.38 NA 0.91 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 105 16 107 12 100 1.39
"14" "tutd" 12 1 NA 0.01 NA 26 7 26 7 100 0.46
"15" "tutu" 770 0.15 NA 0.85 NA 720 41 714 42 100 1.07
