"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 12 4 100 3.08
"2" "kukd" 21 0.03 NA 1 NA 14 3 14 2 100 1.5
"3" "kuku" 12 0.1 NA 1 NA 10 1 10 1 100 1.2
"4" "pkd" 128 0 0 1 NA 80 9 80 7 100 1.6
"5" "pku" 12 0.82 NA 0.18 NA 18 4 19 3 100 0.67
"6" "pp" 193 0 0 1 NA 121 6 122 4 100 1.6
"7" "tdkd" 28 0.18 NA 0.89 NA 21 7 20 9 100 1.33
"8" "tdku" 10 0.17 NA 0.94 NA 7 3 7 3 100 1.43
"9" "tdp" 100 0.05 NA 0.96 NA 84 10 85 9 100 1.19
"10" "tdtd" 34 0.23 NA 0.84 NA 28 7 28 7 100 1.21
"11" "tukd" 8 0.73 NA 0.39 NA 9 2 9 2 100 0.89
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.09 NA 0.96 NA 14 4 15 3 100 1.36
"14" "tutd" 4 0.99 NA 0.01 NA 9 3 10 3 100 0.44
"15" "tutu" 11 0.27 NA 0.94 NA 10 1 10 1 100 1.1
