"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 41 15 40 13 100 4.41
"2" "kukd" 330 0 0 1 NA 171 22 171 23 100 1.93
"3" "kuku" 1611 0 0 1 NA 873 51 871 50 100 1.85
"4" "pkd" 836 0 0 1 NA 342 25 340 21 100 2.44
"5" "pku" 1768 0 0 1 NA 1082 68 1083 68 100 1.63
"6" "pp" 16104 0 0 1 NA 3203 87 3204 81 100 5.03
"7" "tdkd" 40 0.35 NA 0.7 NA 36 12 34 13 100 1.11
"8" "tdku" 39 0.03 NA 0.98 NA 23 8 22 7 100 1.7
"9" "tdp" 885 0 0 1 NA 393 29 393 30 100 2.25
"10" "tdtd" 99 0.13 NA 0.87 NA 76 21 74 25 100 1.3
"11" "tukd" 57 0.57 NA 0.46 NA 61 11 59 10 100 0.93
"12" "tuku" 1 0.55 NA 0.79 NA 1 1 1 1 100 1
"13" "tup" 329 0 0 1 NA 239 22 238 24 100 1.38
"14" "tutd" 62 0.37 NA 0.66 NA 58 12 57 11 100 1.07
"15" "tutu" 1650 0 0 1 NA 1044 50 1046 51 100 1.58
