"group" "motif_type" "counts" "total_count"
"1" "others" 2 60
"1" "others" 3 12
"1" "others" 4 7
"1" "others" 5 6
"1" "others" 6 3
"1" "others" 8 2
"1" "others" 9 1
"1" "others" 10 1
"1" "others" 11 4
"1" "others" 12 1
"1" "others" 14 1
"1" "others" 15 1
"1" "others" 26 1
"1" "protein_complexes" 2 409
"1" "protein_complexes" 3 74
"1" "protein_complexes" 4 20
"1" "protein_complexes" 5 9
"1" "protein_complexes" 6 7
"1" "protein_complexes" 7 1
"1" "protein_complexes" 8 2
"1" "protein_complexes" 9 1
"1" "regulatory_triplets" 2 164
"1" "regulatory_triplets" 3 26
"1" "regulatory_triplets" 4 12
"1" "regulatory_triplets" 5 5
"1" "regulatory_triplets" 6 3
"1" "regulatory_triplets" 7 1
"1" "regulatory_triplets" 9 1
"1" "signaling_triplets" 2 217
"1" "signaling_triplets" 3 42
"1" "signaling_triplets" 4 19
"1" "signaling_triplets" 6 5
"1" "signaling_triplets" 7 2
"2" "others" 2 50
"2" "others" 3 22
"2" "others" 4 11
"2" "others" 5 4
"2" "others" 6 4
"2" "others" 8 2
"2" "others" 10 2
"2" "others" 11 2
"2" "others" 12 1
"2" "others" 13 1
"2" "others" 14 1
"2" "others" 15 1
"2" "others" 19 1
"2" "others" 22 1
"2" "others" 30 1
"2" "protein_complexes" 2 433
"2" "protein_complexes" 3 73
"2" "protein_complexes" 4 32
"2" "protein_complexes" 5 9
"2" "protein_complexes" 6 5
"2" "protein_complexes" 7 1
"2" "protein_complexes" 8 1
"2" "protein_complexes" 11 1
"2" "protein_complexes" 21 1
"2" "protein_complexes" 26 1
"2" "regulatory_triplets" 2 221
"2" "regulatory_triplets" 3 25
"2" "regulatory_triplets" 4 10
"2" "regulatory_triplets" 5 3
"2" "regulatory_triplets" 6 2
"2" "regulatory_triplets" 9 1
"2" "signaling_triplets" 2 249
"2" "signaling_triplets" 3 42
"2" "signaling_triplets" 4 7
"2" "signaling_triplets" 5 4
"2" "signaling_triplets" 6 4
"2" "signaling_triplets" 7 4
"2" "signaling_triplets" 9 1
"2" "signaling_triplets" 10 1
"2" "signaling_triplets" 32 1
"3" "others" 2 63
"3" "others" 3 17
"3" "others" 4 6
"3" "others" 5 6
"3" "others" 6 4
"3" "others" 7 1
"3" "others" 8 2
"3" "others" 9 1
"3" "others" 10 1
"3" "others" 12 1
"3" "others" 14 2
"3" "others" 18 1
"3" "protein_complexes" 2 451
"3" "protein_complexes" 3 63
"3" "protein_complexes" 4 21
"3" "protein_complexes" 5 7
"3" "protein_complexes" 6 5
"3" "protein_complexes" 7 1
"3" "protein_complexes" 10 1
"3" "protein_complexes" 12 1
"3" "protein_complexes" 14 1
"3" "regulatory_triplets" 2 202
"3" "regulatory_triplets" 3 20
"3" "regulatory_triplets" 4 9
