"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 35 11 34 10 100 3.69
"2" "kukd" 316 0 0 1 NA 105 16 107 16 100 3.01
"3" "kuku" 1097 0 0 1 NA 306 27 308 24 100 3.58
"4" "pkd" 612 0 0 1 NA 80 14 81 13 100 7.65
"5" "pku" 1177 0 0 1 NA 260 31 258 31 100 4.53
"6" "pp" 13890 0 0 1 NA 470 33 472 33 100 29.55
"7" "tdkd" 28 0.01 NA 0.99 NA 10 5 9 4 100 2.8
"8" "tdku" 50 0 0 1 NA 8 5 8 4 100 6.25
"9" "tdp" 592 0 0 1 NA 64 10 64 8 100 9.25
"10" "tdtd" 41 0 0 1 NA 15 6 14 5 100 2.73
"11" "tukd" 17 0.02 NA 0.98 NA 8 4 8 4 100 2.12
"12" "tuku" 0 1 NA 0.96 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 27 7 27 6 100 6.41
"14" "tutd" 21 0.1 NA 0.94 NA 14 5 14 4 100 1.5
"15" "tutu" 353 0 0 1 NA 71 10 71 9 100 4.97
