"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.03 NA 0.99 NA 11 3 11 3 100 1.73
"2" "kukd" 139 0 0 1 NA 100 14 102 13 100 1.39
"3" "kuku" 876 0 0 1 NA 592 45 590 44 100 1.48
"4" "pkd" 299 0 0 1 NA 259 16 259 13 100 1.15
"5" "pku" 1102 0.03 NA 0.97 NA 971 78 973 68 100 1.13
"6" "pp" 4469 0 0 1 NA 3496 74 3494 70 100 1.28
"7" "tdkd" 12 0.76 NA 0.31 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.67 NA 0.35 NA 20 6 20 7 100 0.9
"9" "tdp" 325 0.85 NA 0.17 NA 345 20 344 19 100 0.94
"10" "tdtd" 10 0.98 NA 0.05 NA 16 3 16 4 100 0.62
"11" "tukd" 48 0.83 NA 0.22 NA 55 8 56 9 100 0.87
"12" "tuku" 1 0.43 NA 0.78 NA 1 2 0 0 100 1
"13" "tup" 297 0.73 NA 0.28 NA 313 35 314 27 100 0.95
"14" "tutd" 66 0.51 NA 0.53 NA 67 12 66 11 100 0.99
"15" "tutu" 2397 0 0 1 NA 1528 75 1530 79 100 1.57
