"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.1 NA 0.92 NA 24 5 24 4 50 1.38
"2" "kukd" 305 0 0 1 NA 196 26 200 24 50 1.56
"3" "kuku" 1719 0 0 1 NA 1137 47 1136 48 50 1.51
"4" "pkd" 538 0 0 1 NA 408 20 411 21 50 1.32
"5" "pku" 2067 0 0 1 NA 1531 144 1544 82 50 1.35
"6" "pp" 6202 0 0 1 NA 4743 70 4751 69 50 1.31
"7" "tdkd" 35 0.36 NA 0.66 NA 32 8 33 9 50 1.09
"8" "tdku" 52 0.04 NA 0.96 NA 38 9 38 9 50 1.37
"9" "tdp" 545 0.26 NA 0.74 NA 529 24 532 27 50 1.03
"10" "tdtd" 44 0.68 NA 0.4 NA 47 7 46 5 50 0.94
"11" "tukd" 102 0.54 NA 0.48 NA 103 10 103 11 50 0.99
"12" "tuku" 1 0.74 NA 0.62 NA 2 1 1 1 50 0.5
"13" "tup" 541 0.12 NA 0.88 NA 498 36 492 36 50 1.09
"14" "tutd" 114 0.58 NA 0.46 NA 119 15 115 13 50 0.96
"15" "tutu" 4146 0 0 1 NA 3047 102 3061 93 50 1.36
