"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0 0 1 NA 22 7 21 6 100 2.05
"2" "kukd" 100 0 0 1 NA 58 12 58 12 100 1.72
"3" "kuku" 113 0 0 1 NA 67 11 66 11 100 1.69
"4" "pkd" 94 0 0 1 NA 33 7 32 7 100 2.85
"5" "pku" 105 0 0 1 NA 57 14 58 12 100 1.84
"6" "pp" 3363 0 0 1 NA 133 14 134 16 100 25.29
"7" "tdkd" 1 0.39 NA 0.81 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.83 NA 0 1 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 5 15 4 100 2.53
"10" "tdtd" 17 0.11 NA 0.94 NA 11 4 11 4 100 1.55
"11" "tukd" 0 1 NA 0.71 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.95 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 6 3 100 6.5
"14" "tutd" 11 0.32 NA 0.78 NA 9 4 9 3 100 1.22
"15" "tutu" 40 0.01 NA 0.99 NA 22 5 22 5 100 1.82
