"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tuku" "tdku"
21 40 59 33 51 117 2 25 14 8 17 22 NA NA NA
17 43 77 37 56 136 1 15 12 13 9 27 NA NA NA
21 71 53 23 40 121 NA 20 18 3 16 18 2 NA NA
17 64 71 33 33 136 NA 25 7 4 8 23 NA NA NA
19 48 75 26 26 118 NA 22 13 6 4 27 NA 1 NA
29 86 75 31 43 139 1 25 19 4 7 41 NA NA NA
26 53 57 33 75 149 4 13 14 5 9 24 1 NA NA
20 64 68 25 55 137 1 19 7 9 11 21 NA NA NA
27 73 66 25 44 136 NA 13 4 3 4 15 1 3 NA
38 83 67 31 61 114 NA 15 14 9 12 18 NA NA NA
16 48 63 39 41 131 NA 16 15 11 10 24 NA NA 3
20 60 59 40 57 154 2 9 9 3 6 14 NA NA 1
23 37 73 35 70 155 NA 9 20 9 11 24 2 NA NA
28 66 67 29 55 135 NA 7 4 2 3 26 2 NA 1
20 60 57 43 55 119 NA 14 11 15 9 29 NA NA NA
21 42 55 36 47 133 NA 5 5 4 10 22 NA NA NA
33 60 71 24 67 120 NA 11 9 10 11 20 NA NA NA
14 34 60 29 63 132 1 6 10 4 3 16 NA NA NA
11 49 43 30 48 144 4 18 3 6 7 27 5 NA NA
27 71 70 32 84 128 2 17 12 3 4 17 1 NA NA
18 50 73 31 65 148 1 12 8 14 10 20 NA NA 1
18 47 54 42 59 139 NA 10 17 7 10 24 NA NA NA
26 60 65 35 69 124 NA 13 7 9 9 22 NA NA NA
24 75 73 43 54 124 1 15 7 3 7 16 NA NA NA
10 44 58 21 45 142 NA 9 9 5 8 14 NA NA NA
23 62 79 48 90 145 1 13 12 7 9 35 1 NA NA
25 54 63 49 84 153 1 11 15 7 5 32 NA NA NA
24 74 49 31 43 121 NA 21 13 11 7 21 NA NA NA
31 57 54 39 56 133 NA 13 14 7 15 23 NA NA NA
22 62 68 28 59 146 1 17 5 4 9 17 NA NA NA
29 69 76 45 70 121 NA 17 11 6 7 15 1 NA 1
26 49 48 27 39 100 NA 22 10 7 10 18 1 NA NA
21 42 52 33 48 134 NA 15 16 2 13 21 NA NA NA
10 49 61 26 69 120 NA 17 6 9 5 17 NA NA NA
28 59 67 28 65 120 1 20 14 7 6 26 NA NA NA
10 47 68 45 60 159 4 18 11 13 8 19 2 NA NA
18 58 94 32 80 134 NA 18 18 3 11 20 1 NA NA
14 51 64 31 28 132 NA 13 14 4 18 21 NA 1 NA
24 59 61 29 43 113 NA 14 12 7 7 18 NA NA NA
17 53 56 26 21 147 3 21 13 3 4 22 1 NA NA
17 42 64 20 50 135 NA 11 10 5 10 14 NA NA NA
21 54 62 26 45 127 NA 11 14 1 7 27 NA NA NA
26 61 57 40 59 147 NA 15 9 12 9 26 NA NA NA
16 54 77 32 64 125 NA 21 7 6 12 14 NA NA NA
21 59 60 46 76 135 NA 12 7 5 12 14 NA NA NA
28 65 61 35 76 176 NA 19 14 5 2 24 NA NA NA
13 69 57 23 41 161 NA 18 14 7 7 20 NA NA NA
8 35 50 24 52 154 NA 17 10 8 11 27 NA NA NA
27 84 83 51 77 135 NA 14 18 4 5 20 NA NA NA
25 57 52 45 61 109 NA 20 10 9 10 20 NA 1 1
19 49 59 29 70 145 NA 18 11 7 7 32 NA NA NA
16 50 57 41 52 133 1 13 11 9 9 24 1 NA NA
20 61 59 30 54 137 NA 19 13 16 13 26 NA NA NA
18 47 69 41 61 134 NA 15 11 10 6 19 NA NA NA
14 64 60 32 66 129 1 8 12 5 8 28 NA NA 1
41 58 66 28 60 119 NA 15 8 5 4 17 NA NA NA
22 57 51 21 39 149 2 14 7 9 11 33 NA NA NA
15 38 67 40 58 107 4 17 14 5 11 23 NA NA NA
25 68 84 38 70 151 3 21 11 9 14 29 NA NA NA
22 66 78 31 61 151 NA 16 13 9 12 16 NA NA 1
29 52 65 28 43 127 2 20 2 1 13 16 2 NA NA
19 58 65 30 34 127 4 17 9 5 6 19 1 NA 2
33 54 86 24 57 134 2 16 10 6 16 18 1 NA NA
14 50 83 31 58 145 1 12 17 3 5 17 1 NA NA
30 86 83 37 66 138 NA 18 8 5 6 19 NA NA NA
22 60 81 36 59 139 1 13 10 3 9 20 1 NA 1
26 58 89 44 81 162 NA 7 12 2 4 25 NA NA NA
19 47 93 27 74 123 2 12 9 3 4 24 1 NA NA
21 53 72 25 69 136 NA 20 13 1 12 29 NA 2 NA
21 56 52 39 58 127 NA 12 15 4 9 24 NA NA NA
18 52 59 27 51 118 2 13 11 7 11 30 1 NA NA
17 55 73 39 29 152 1 16 10 10 10 35 NA NA NA
23 56 55 37 49 125 NA 10 15 5 10 21 NA NA NA
33 72 65 50 65 119 NA 8 17 6 7 24 NA NA NA
20 65 68 33 43 112 NA 15 12 4 10 32 NA NA NA
26 53 59 33 58 132 NA 21 11 4 12 19 1 NA NA
18 43 64 34 39 124 2 25 18 6 10 24 1 NA 1
20 64 62 19 66 105 NA 13 11 5 9 24 NA NA NA
22 85 75 36 56 159 NA 15 11 2 9 15 1 NA NA
24 56 89 28 55 140 NA 6 9 6 4 21 NA NA NA
26 55 70 27 51 137 2 16 13 8 13 28 NA NA 1
13 61 59 22 51 120 NA 10 7 5 12 22 NA NA NA
17 37 78 33 77 133 1 8 5 11 11 21 NA NA NA
21 76 63 35 47 133 NA 19 14 8 11 25 NA NA NA
13 49 64 30 65 134 NA 15 6 7 12 21 1 NA 1
30 60 61 39 47 113 2 15 11 6 14 24 NA NA 2
24 66 73 28 59 137 NA 13 17 3 14 29 1 NA NA
28 74 85 36 64 121 NA 14 13 5 9 19 NA NA NA
18 43 39 37 55 148 NA 11 11 11 7 21 NA NA NA
18 55 75 33 61 115 NA 9 17 4 10 23 NA NA NA
9 58 71 20 61 137 NA 11 8 8 13 22 NA NA NA
34 66 85 34 77 148 2 8 13 7 7 27 NA NA 2
40 72 74 32 31 118 1 11 12 6 5 10 NA NA NA
32 76 83 35 83 139 NA 5 13 9 9 20 NA NA NA
28 66 71 33 66 142 NA 13 11 5 4 29 NA NA NA
26 34 59 27 66 107 1 7 12 6 3 25 1 NA NA
25 61 67 38 62 146 1 13 10 4 17 17 NA NA NA
25 61 71 39 54 114 NA 11 6 8 9 23 NA NA 1
20 61 62 19 63 118 1 17 11 5 5 28 1 NA NA
20 53 81 28 51 152 NA 17 3 13 5 19 1 NA 1
