"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.43 NA 0.66 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 74 15 75 12 100 2.09
"3" "kuku" 932 0 0 1 NA 456 31 453 27 100 2.04
"4" "pkd" 109 0.57 NA 0.49 NA 109 16 110 13 100 1
"5" "pku" 1195 0 0 1 NA 508 44 506 39 100 2.35
"6" "pp" 1478 0 0 1 NA 919 38 923 39 100 1.61
"7" "tdkd" 20 0.01 NA 0.99 NA 10 3 10 3 100 2
"8" "tdku" 30 0.01 NA 1 NA 12 5 11 4 100 2.5
"9" "tdp" 145 0 0 1 NA 111 14 112 10 100 1.31
"10" "tdtd" 11 0.55 NA 0.64 NA 11 3 11 3 100 1
"11" "tukd" 35 0.15 NA 0.87 NA 27 7 27 6 100 1.3
"12" "tuku" 1 0.38 NA 0.94 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 109 14 110 13 100 1.34
"14" "tutd" 12 1 NA 0 0 28 9 27 7 100 0.43
"15" "tutu" 770 0.11 NA 0.89 NA 719 41 720 44 100 1.07
