"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.43 NA 0.73 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 75 14 74 12 100 2.07
"3" "kuku" 932 0 0 1 NA 451 34 454 36 100 2.07
"4" "pkd" 109 0.6 NA 0.47 NA 110 14 112 12 100 0.99
"5" "pku" 1195 0 0 1 NA 504 64 511 50 100 2.37
"6" "pp" 1478 0 0 1 NA 927 43 931 39 100 1.59
"7" "tdkd" 20 0 0 1 NA 10 3 10 3 100 2
"8" "tdku" 30 0 0 1 NA 12 5 11 3 100 2.5
"9" "tdp" 145 0 0 1 NA 110 13 110 13 100 1.32
"10" "tdtd" 11 0.51 NA 0.62 NA 11 3 11 4 100 1
"11" "tukd" 35 0.12 NA 0.89 NA 27 8 26 7 100 1.3
"12" "tuku" 1 0.43 NA 0.84 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 105 18 106 16 100 1.39
"14" "tutd" 12 0.98 NA 0.03 NA 26 7 26 7 100 0.46
"15" "tutu" 770 0.08 NA 0.92 NA 715 43 716 48 100 1.08
