"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 33 15 8 NA NA NA
"ku" "kd" 198 4 20 1 NA NA
"ku" "ku" 1283 6 11 6 1 NA
"p" "kd" 471 6 15 5 NA NA
"p" "ku" 1530 11 6 16 1 3
"p" "p" 5321 1 7 89 NA 7
"td" "kd" 43 NA 2 NA NA NA
"td" "ku" 38 NA NA NA 3 NA
"td" "p" 636 1 2 9 40 NA
"td" "td" 176 NA NA 1 NA NA
"tu" "kd" 98 NA 1 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 470 NA NA 1 NA NA
"tu" "td" 89 NA NA NA NA 4
"tu" "tu" 3064 1 NA 7 2 5
"kd" "kd" 40 17 7 NA NA NA
"ku" "kd" 235 11 21 1 NA NA
"ku" "ku" 1187 12 19 4 2 3
"p" "kd" 469 7 24 8 NA NA
"p" "ku" 1539 6 3 18 1 1
"p" "p" 5269 5 13 137 3 4
"td" "kd" 57 NA 1 NA NA NA
"td" "ku" 43 NA NA NA 2 NA
"td" "p" 616 NA NA 1 26 1
"td" "td" 133 NA NA NA 3 NA
"tu" "kd" 93 NA 1 2 NA NA
"tu" "p" 534 NA NA 9 NA NA
"tu" "td" 116 NA NA NA 1 15
"tu" "tu" 2959 NA 1 12 3 3
"kd" "kd" 28 9 10 NA NA NA
"ku" "kd" 198 7 16 1 NA NA
"ku" "ku" 1228 7 12 17 NA 3
"p" "kd" 493 3 16 25 1 NA
"p" "ku" 1548 2 5 31 1 NA
"p" "p" 5295 8 15 111 5 1
"td" "kd" 59 NA 3 1 NA NA
"td" "ku" 25 NA NA NA NA NA
"td" "p" 619 NA 1 17 25 NA
"td" "td" 125 NA NA NA 23 9
"tu" "kd" 103 1 1 NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 470 NA NA 10 NA 1
"tu" "td" 106 NA NA 1 NA 3
"tu" "tu" 3196 NA 1 10 2 3
"kd" "kd" 35 28 45 28 NA NA
"ku" "kd" 191 6 25 7 NA NA
"ku" "ku" 1123 11 5 8 1 3
"p" "kd" 442 15 39 33 NA NA
"p" "ku" 1510 8 5 19 NA 1
"p" "p" 5510 15 11 139 NA 5
"td" "kd" 47 NA 1 NA NA NA
"td" "ku" 49 NA 1 1 3 NA
"td" "p" 676 NA 3 10 33 1
"td" "td" 127 NA NA NA 23 10
"tu" "kd" 112 NA 1 2 NA NA
"tu" "p" 390 NA NA 1 1 1
"tu" "td" 164 NA NA 1 NA 12
"tu" "tu" 3347 NA NA 12 4 6
"kd" "kd" 42 3 NA NA NA NA
"ku" "kd" 224 1 13 2 NA NA
"ku" "ku" 1286 11 12 16 2 1
"p" "kd" 494 NA 30 22 NA NA
"p" "ku" 1602 4 7 20 1 2
"p" "p" 5189 11 7 104 5 2
"td" "kd" 46 NA 8 NA NA NA
"td" "ku" 16 NA NA NA NA NA
"td" "p" 665 NA 1 10 30 NA
"td" "td" 165 NA NA NA 16 14
"tu" "kd" 90 NA 2 3 NA NA
"tu" "p" 449 NA 1 4 NA NA
"tu" "td" 130 NA NA 1 NA 8
"tu" "tu" 3255 NA NA 18 4 7
"kd" "kd" 20 3 9 NA NA NA
"ku" "kd" 216 1 29 2 NA NA
"ku" "ku" 1218 13 12 11 NA NA
"p" "kd" 479 3 30 15 NA NA
"p" "ku" 1644 5 3 17 NA 3
"p" "p" 5402 5 10 135 2 NA
"td" "kd" 61 NA NA NA NA NA
"td" "ku" 24 NA NA NA 3 NA
"td" "p" 671 NA NA 7 23 NA
"td" "td" 193 NA NA NA NA NA
"tu" "kd" 108 NA 6 5 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 560 NA 1 2 1 1
"tu" "td" 108 NA NA 1 NA 3
"tu" "tu" 3075 1 NA 12 NA 3
"kd" "kd" 27 7 6 7 NA NA
"ku" "kd" 198 5 20 3 NA NA
"ku" "ku" 1132 9 11 7 NA 4
"p" "kd" 473 1 18 42 NA NA
"p" "ku" 1528 6 7 11 NA 1
"p" "p" 5199 3 13 122 1 NA
"td" "kd" 50 NA 5 2 NA NA
"td" "ku" 34 NA NA NA 1 NA
"td" "p" 675 NA 2 3 37 2
"td" "td" 157 NA NA NA NA 14
"tu" "kd" 98 1 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 499 NA NA 7 2 NA
"tu" "td" 108 NA NA 1 NA 6
"tu" "tu" 3146 NA 1 12 1 1
"kd" "kd" 34 2 5 NA NA NA
"ku" "kd" 219 4 20 4 NA NA
"ku" "ku" 1244 8 18 9 2 NA
"p" "kd" 520 3 19 10 1 NA
"p" "ku" 1627 10 10 28 2 2
"p" "p" 5261 2 13 109 2 2
"td" "kd" 70 NA 6 NA NA NA
"td" "ku" 46 NA NA 1 3 NA
"td" "p" 708 NA 1 8 46 NA
"td" "td" 182 NA NA NA 5 2
"tu" "kd" 116 NA 2 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 557 NA NA 3 NA NA
"tu" "td" 130 NA NA 1 NA 9
"tu" "tu" 3192 1 2 9 3 3
"kd" "kd" 66 20 31 NA NA NA
"ku" "kd" 228 18 30 2 1 NA
"ku" "ku" 1163 17 15 5 2 2
"p" "kd" 449 5 29 7 NA NA
"p" "ku" 1539 3 5 13 2 NA
"p" "p" 5227 6 6 97 1 3
"td" "kd" 65 NA 5 9 2 NA
"td" "ku" 40 NA 1 NA 2 NA
"td" "p" 611 NA 5 7 14 NA
"td" "td" 168 NA NA NA NA 4
"tu" "kd" 121 NA 3 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 525 NA 1 3 NA 1
"tu" "td" 103 NA NA NA 1 10
"tu" "tu" 3169 NA 1 4 3 4
"kd" "kd" 49 11 15 NA NA NA
"ku" "kd" 236 6 15 5 NA NA
"ku" "ku" 1122 5 11 4 4 2
"p" "kd" 533 6 20 19 NA NA
"p" "ku" 1474 4 7 11 NA 1
"p" "p" 5211 2 5 92 1 NA
"td" "kd" 47 NA 4 3 6 NA
"td" "ku" 41 NA NA NA 3 NA
"td" "p" 641 NA 1 2 26 NA
"td" "td" 118 NA NA 1 5 11
"tu" "kd" 107 NA 4 NA NA NA
"tu" "p" 471 NA NA 4 1 3
"tu" "td" 127 NA NA NA 1 11
"tu" "tu" 3040 1 1 8 2 3
"kd" "kd" 46 20 48 NA NA NA
"ku" "kd" 248 9 27 7 NA NA
"ku" "ku" 1234 6 15 12 1 1
"p" "kd" 474 13 29 18 NA NA
"p" "ku" 1593 3 7 13 NA 3
"p" "p" 5201 3 11 120 4 2
"td" "kd" 26 NA 7 2 NA NA
"td" "ku" 35 NA NA NA 1 NA
"td" "p" 662 NA NA 32 37 NA
"td" "td" 88 NA NA NA NA 6
"tu" "kd" 114 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 432 NA 1 5 NA NA
"tu" "td" 119 NA NA 2 NA 12
"tu" "tu" 3007 NA NA 12 3 5
"kd" "kd" 35 2 13 NA NA NA
"ku" "kd" 230 3 27 7 NA NA
"ku" "ku" 1217 8 29 16 NA NA
"p" "kd" 460 3 41 28 NA NA
"p" "ku" 1500 3 7 13 NA 1
"p" "p" 5157 2 28 141 5 4
"td" "kd" 63 NA 13 NA 1 NA
"td" "ku" 39 NA 1 NA 1 NA
"td" "p" 672 NA 7 1 18 NA
"td" "td" 149 NA NA NA NA 9
"tu" "kd" 113 NA 2 1 NA NA
"tu" "p" 508 NA 1 6 NA NA
"tu" "td" 123 NA NA NA NA 6
"tu" "tu" 3134 NA NA 8 3 3
"kd" "kd" 37 2 4 NA NA NA
"ku" "kd" 222 1 10 5 1 NA
"ku" "ku" 1197 2 12 10 4 1
"p" "kd" 475 5 6 14 NA NA
"p" "ku" 1567 5 4 9 NA 2
"p" "p" 5594 6 4 119 2 NA
"td" "kd" 57 NA 5 NA 1 NA
"td" "ku" 33 NA NA 1 4 1
"td" "p" 587 NA 3 5 16 NA
"td" "td" 181 NA NA NA 9 4
"tu" "kd" 121 NA 1 1 1 NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 499 NA 1 5 NA 1
"tu" "td" 126 1 NA 1 NA 8
"tu" "tu" 3219 NA NA 8 5 2
"kd" "kd" 57 31 30 NA NA NA
"ku" "kd" 202 8 31 2 NA NA
"ku" "ku" 1210 8 22 11 NA 1
"p" "kd" 462 9 40 8 NA NA
"p" "ku" 1545 13 5 15 NA 1
"p" "p" 5286 14 28 123 2 3
"td" "kd" 63 NA 6 NA NA NA
"td" "ku" 37 NA NA NA 1 NA
"td" "p" 634 NA 5 8 29 2
"td" "td" 133 NA NA NA 1 1
"tu" "kd" 134 NA 1 NA NA NA
"tu" "p" 450 NA 2 3 NA NA
"tu" "td" 130 NA NA NA NA 7
"tu" "tu" 3156 1 1 13 1 2
"kd" "kd" 42 10 32 26 NA NA
"ku" "kd" 208 3 23 12 NA NA
"ku" "ku" 1196 12 10 15 4 NA
"p" "kd" 471 13 22 64 NA NA
"p" "ku" 1493 3 6 32 1 2
"p" "p" 5226 8 7 172 3 4
"td" "kd" 79 NA NA NA NA NA
"td" "ku" 50 NA NA NA NA NA
"td" "p" 618 NA NA 2 28 NA
"td" "td" 187 NA NA NA 10 4
"tu" "kd" 103 NA 3 5 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 456 NA NA 4 NA 1
"tu" "td" 113 NA NA NA NA 6
"tu" "tu" 3044 NA NA 13 6 5
"kd" "kd" 27 3 5 7 NA NA
"ku" "kd" 222 1 27 9 1 NA
"ku" "ku" 1271 9 19 8 3 1
"p" "kd" 484 3 24 15 NA NA
"p" "ku" 1527 9 8 29 1 NA
"p" "p" 5321 4 18 136 NA 5
"td" "kd" 44 NA 2 4 4 NA
"td" "ku" 51 NA NA 1 1 NA
"td" "p" 660 NA 1 5 14 1
"td" "td" 106 NA NA 11 1 9
"tu" "kd" 104 NA 5 1 1 NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 474 NA 1 1 NA 2
"tu" "td" 123 NA NA NA NA 11
"tu" "tu" 3214 NA 1 8 2 7
"kd" "kd" 40 3 9 NA NA NA
"ku" "kd" 246 3 16 6 NA NA
"ku" "ku" 1220 6 10 13 NA NA
"p" "kd" 488 4 19 9 NA NA
"p" "ku" 1457 2 3 23 1 1
"p" "p" 5219 8 5 83 1 NA
"td" "kd" 63 NA 3 3 2 NA
"td" "ku" 26 NA NA NA 2 NA
"td" "p" 653 NA 1 9 14 NA
"td" "td" 172 NA NA NA 1 1
"tu" "kd" 99 NA 3 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 507 NA NA 4 NA 1
"tu" "td" 132 NA NA 2 NA 4
"tu" "tu" 3200 NA 1 11 2 7
"kd" "kd" 66 1 NA NA NA NA
"ku" "kd" 208 NA 21 3 NA NA
"ku" "ku" 1189 11 9 6 1 3
"p" "kd" 511 NA 41 9 1 NA
"p" "ku" 1437 4 5 11 NA NA
"p" "p" 5359 5 18 104 2 3
"td" "kd" 62 NA 5 NA NA NA
"td" "ku" 19 NA NA NA 3 NA
"td" "p" 612 NA NA 1 26 NA
"td" "td" 133 NA NA NA NA 6
"tu" "kd" 102 NA 2 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 513 NA 1 4 NA 1
"tu" "td" 115 NA NA 1 NA 8
"tu" "tu" 3096 1 1 15 1 5
"kd" "kd" 45 NA NA NA NA NA
"ku" "kd" 160 5 16 4 NA NA
"ku" "ku" 1213 12 6 7 2 2
"p" "kd" 440 1 14 18 NA NA
"p" "ku" 1551 4 6 17 3 3
"p" "p" 5270 2 10 100 4 2
"td" "kd" 51 NA 7 5 NA NA
"td" "ku" 30 NA 1 1 2 NA
"td" "p" 696 NA 4 12 22 1
"td" "td" 78 NA NA NA 11 3
"tu" "kd" 84 NA 3 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 495 NA NA 5 NA 1
"tu" "td" 112 NA NA NA NA 12
"tu" "tu" 2981 NA NA 6 1 2
"kd" "kd" 25 30 33 NA NA NA
"ku" "kd" 224 6 34 8 NA NA
"ku" "ku" 1178 14 18 13 1 2
"p" "kd" 474 15 32 21 NA NA
"p" "ku" 1446 6 7 32 3 1
"p" "p" 5306 7 13 140 NA 3
"td" "kd" 31 NA 1 NA 5 NA
"td" "ku" 44 NA NA NA 1 NA
"td" "p" 641 NA NA 14 16 NA
"td" "td" 168 NA NA NA NA 77
"tu" "kd" 94 1 3 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 480 NA NA 6 NA NA
"tu" "td" 123 NA NA 1 NA 10
"tu" "tu" 3206 1 NA 9 5 3
"kd" "kd" 33 3 13 NA NA NA
"ku" "kd" 218 1 26 2 NA NA
"ku" "ku" 1263 8 27 10 2 1
"p" "kd" 492 1 31 8 NA NA
"p" "ku" 1659 8 9 12 1 NA
"p" "p" 5329 6 14 114 2 2
"td" "kd" 52 NA 5 NA 1 NA
"td" "ku" 42 NA NA NA NA NA
"td" "p" 688 NA 1 6 20 1
"td" "td" 145 NA NA NA 28 NA
"tu" "kd" 115 NA 7 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 493 NA 1 2 NA 1
"tu" "td" 115 NA NA 1 NA 5
"tu" "tu" 3233 NA 1 8 1 6
"kd" "kd" 27 2 17 NA NA NA
"ku" "kd" 169 3 14 5 1 NA
"ku" "ku" 1190 11 7 11 1 3
"p" "kd" 458 4 30 21 NA NA
"p" "ku" 1667 11 10 22 2 1
"p" "p" 5317 1 15 98 5 NA
"td" "kd" 87 NA NA NA 10 NA
"td" "ku" 39 NA NA NA 3 NA
"td" "p" 695 1 NA 1 10 1
"td" "td" 195 NA NA NA 17 3
"tu" "kd" 88 NA 2 NA NA NA
"tu" "p" 437 NA NA 1 NA 1
"tu" "td" 111 NA NA NA NA 5
"tu" "tu" 3053 NA 1 8 NA NA
"kd" "kd" 38 3 3 NA NA NA
"ku" "kd" 195 1 11 5 NA NA
"ku" "ku" 1301 9 7 10 3 3
"p" "kd" 477 3 18 25 NA NA
"p" "ku" 1605 2 4 16 1 3
"p" "p" 5325 5 13 99 6 2
"td" "kd" 64 NA 7 NA 1 NA
"td" "ku" 38 NA 1 NA 1 NA
"td" "p" 572 NA NA 7 36 2
"td" "td" 153 NA NA 1 29 22
