"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 100 4
"2" "kukd" 19 0.04 NA 0.99 NA 14 4 15 3 100 1.36
"3" "kuku" 15 0.19 NA 0.99 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 103 8 102 7 100 1.49
"5" "pku" 28 0.13 NA 0.92 NA 23 6 25 3 100 1.22
"6" "pp" 660 0 0 1 NA 441 10 442 10 100 1.5
"7" "tdkd" 14 0.22 NA 0.85 NA 10 4 10 4 100 1.4
"8" "tdku" 10 0.04 NA 1 NA 6 2 6 3 100 1.67
"9" "tdp" 206 0 0 1 NA 166 13 167 9 100 1.24
"10" "tdtd" 24 0.13 NA 0.9 NA 18 5 17 5 100 1.33
"11" "tukd" 5 0.64 NA 0.58 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.45 NA 0.86 NA 12 4 14 1 100 1.25
"14" "tutd" 5 0.84 NA 0.32 NA 7 2 7 3 100 0.71
"15" "tutu" 9 0.56 NA 1 NA 9 1 9 0 100 1
