"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tukd" "tup" "tutd" "tutu" "tdtd" "tuku"
19 44 164 100 237 745 8 8 94 16 60 16 331 NA NA
6 34 131 80 210 743 3 NA 71 14 66 14 313 14 NA
26 54 196 81 242 839 15 3 59 14 50 14 273 40 NA
15 43 168 87 224 745 6 5 62 19 57 9 289 14 NA
6 15 175 83 226 761 8 4 65 12 35 5 327 5 NA
4 40 153 79 187 728 6 1 51 18 45 4 291 3 NA
1 35 122 84 183 740 8 7 68 17 57 8 261 18 NA
29 45 145 83 215 755 21 4 63 6 50 7 319 14 NA
20 39 133 96 179 775 4 NA 76 11 64 14 251 17 1
22 46 183 92 244 783 2 2 76 18 49 12 318 14 NA
8 27 139 109 199 659 7 7 69 15 47 17 290 18 NA
14 34 147 80 181 774 2 2 60 18 54 5 302 18 NA
29 45 160 105 226 739 6 5 76 14 75 9 286 5 NA
19 49 171 63 218 747 5 7 66 21 58 6 319 18 1
16 39 153 127 199 758 38 2 83 22 53 3 268 3 1
3 27 142 69 207 744 1 3 72 13 49 11 269 26 NA
16 24 179 78 228 731 2 NA 88 19 49 12 307 82 NA
9 25 149 96 213 753 7 4 69 12 58 9 306 6 NA
11 41 185 78 213 740 2 1 70 11 53 7 307 11 NA
6 34 141 96 199 743 13 8 75 12 48 8 309 8 NA
7 31 153 95 190 684 6 8 73 9 50 7 354 22 NA
15 51 163 78 176 792 2 4 69 20 69 9 270 28 NA
22 37 145 80 216 758 7 1 66 23 58 11 281 NA NA
9 36 165 87 222 767 7 3 75 5 68 18 267 3 NA
13 24 175 87 201 754 3 1 61 17 41 5 292 16 1
31 59 180 89 205 719 36 3 73 15 55 8 279 32 1
20 46 151 85 233 754 4 1 55 11 34 4 297 25 NA
11 25 158 68 197 751 9 NA 65 6 51 7 314 1 NA
25 41 173 123 207 778 1 3 78 17 59 7 301 3 NA
1 20 154 104 250 739 3 1 68 9 57 5 300 4 NA
2 31 153 81 192 762 13 6 81 17 68 9 302 16 NA
29 17 152 85 207 713 17 3 80 15 73 24 286 36 NA
4 33 156 72 222 774 7 1 68 11 59 9 298 15 NA
8 31 131 88 224 753 1 2 44 21 61 8 316 4 NA
19 53 173 74 221 772 5 5 93 19 50 10 301 24 NA
17 13 135 76 162 705 7 1 58 9 43 12 296 16 NA
10 51 148 90 181 722 1 3 77 21 45 3 290 17 NA
23 43 174 104 200 737 3 NA 56 10 24 12 293 18 NA
7 44 169 71 204 755 4 3 73 14 37 17 284 8 NA
9 37 172 79 216 757 30 3 99 17 42 11 314 23 NA
35 54 150 111 217 773 18 4 70 25 56 13 285 2 1
28 25 159 38 188 721 NA 2 83 7 41 16 310 3 NA
14 34 166 63 225 710 7 4 60 7 18 11 319 NA NA
11 39 161 89 215 812 19 5 78 10 43 16 293 24 NA
5 44 179 79 189 755 5 4 64 13 49 8 311 17 NA
3 33 134 90 197 745 6 1 76 11 54 7 275 19 NA
18 47 164 88 202 704 3 7 81 15 53 11 350 9 NA
16 37 152 82 160 803 1 1 41 14 67 8 317 25 1
10 61 158 81 192 794 4 4 71 11 57 3 348 10 NA
6 39 161 94 176 709 9 6 62 10 56 8 287 6 NA
24 52 168 129 228 809 NA 4 58 18 51 11 323 6 NA
46 46 119 101 173 797 2 3 61 16 70 18 331 25 NA
21 46 187 78 193 714 7 3 70 13 66 9 308 9 NA
25 36 170 82 212 747 1 1 98 17 55 8 304 4 NA
9 45 143 74 192 742 12 4 66 25 72 11 307 6 NA
21 27 152 77 171 707 2 3 65 18 63 9 286 7 NA
11 33 153 61 174 740 13 5 79 15 47 13 263 19 NA
20 41 177 88 221 749 3 9 89 21 50 10 336 7 NA
29 25 191 110 209 805 1 3 73 15 59 8 299 13 1
6 45 151 81 191 735 8 1 51 23 55 10 281 13 NA
11 45 167 95 221 784 3 2 83 17 59 18 282 19 NA
5 34 158 78 232 740 1 6 55 11 58 13 324 11 NA
16 48 165 88 208 759 15 4 79 18 16 14 331 17 NA
26 50 172 93 218 794 NA 6 82 13 52 8 278 31 NA
11 49 153 76 186 805 2 1 82 14 53 8 292 18 NA
13 25 160 79 213 736 3 9 64 14 57 9 282 11 NA
17 41 167 100 180 742 15 6 103 24 42 5 288 32 NA
13 31 152 91 251 716 11 2 64 17 61 12 336 20 1
6 31 156 75 194 793 6 1 71 6 55 16 269 14 NA
7 35 152 86 191 731 3 5 93 12 53 7 294 28 NA
21 51 146 85 182 757 7 1 77 17 51 10 296 25 NA
10 46 168 89 209 751 8 2 69 7 66 3 341 4 NA
13 50 185 87 192 783 5 1 75 10 41 5 308 6 NA
14 33 180 100 227 730 1 NA 68 26 50 4 307 14 NA
16 41 159 68 195 754 NA 2 75 14 40 13 334 11 1
38 46 151 99 220 766 9 3 75 16 59 4 285 6 NA
4 45 174 89 210 711 11 4 65 13 61 15 290 NA NA
10 31 181 82 234 730 3 8 55 13 47 10 317 24 NA
NA 37 188 92 223 827 5 1 88 15 61 3 321 16 NA
24 41 142 90 184 716 7 1 62 19 44 6 315 17 NA
6 33 148 86 241 770 1 6 78 9 51 11 307 9 NA
17 54 160 90 240 741 7 6 70 21 56 12 305 10 NA
15 39 159 72 173 711 16 2 74 24 38 3 323 23 NA
22 44 133 95 150 750 5 NA 75 15 44 7 287 3 NA
12 51 184 96 194 750 5 5 82 14 46 12 375 4 1
11 51 155 90 211 737 5 5 75 15 73 10 280 1 NA
1 28 165 83 172 729 3 6 74 11 44 13 291 27 NA
20 35 160 74 209 717 9 4 67 11 45 6 278 1 NA
30 38 146 86 187 757 3 3 50 14 47 3 253 8 1
6 44 177 67 220 746 1 1 55 12 48 3 337 6 NA
7 21 150 70 187 755 16 2 75 9 55 10 300 5 NA
