"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0 0 1 NA 21 7 20 7 100 2.14
"2" "kukd" 100 0 0 1 NA 55 11 56 10 100 1.82
"3" "kuku" 113 0 0 1 NA 66 11 66 11 100 1.71
"4" "pkd" 94 0 0 1 NA 32 8 32 9 100 2.94
"5" "pku" 105 0 0 1 NA 59 13 58 13 100 1.78
"6" "pp" 3363 0 0 1 NA 131 14 130 15 100 25.67
"7" "tdkd" 1 0.37 NA 0.85 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.76 NA 0 1 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 4 14 5 100 2.53
"10" "tdtd" 17 0.13 NA 0.91 NA 11 4 10 4 100 1.55
"11" "tukd" 0 1 NA 0.64 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.98 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 6 4 100 6.5
"14" "tutd" 11 0.31 NA 0.76 NA 9 4 8 4 100 1.22
"15" "tutu" 40 0.03 NA 0.98 NA 22 7 22 4 100 1.82
