"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tuku"
36 56 54 48 93 155 1 23 14 2 5 13 20 NA NA
17 47 72 25 62 118 NA 16 18 NA 5 16 29 1 1
25 76 70 25 59 123 1 17 15 1 5 11 15 NA NA
9 64 81 37 66 118 1 11 18 NA 9 7 38 1 NA
19 49 73 35 65 127 1 30 13 1 7 8 23 NA NA
24 39 52 35 30 134 NA 12 11 1 7 7 15 NA NA
29 60 62 36 75 125 NA 15 9 1 11 4 22 NA NA
24 57 75 43 73 127 NA 19 12 NA 3 6 25 NA NA
19 73 96 42 85 145 NA 11 21 NA 3 7 26 1 NA
13 59 80 31 83 145 NA 14 8 NA 7 5 41 NA NA
23 60 70 30 53 128 NA 15 9 2 5 5 14 NA NA
39 59 64 44 49 139 2 11 13 NA 1 12 23 1 NA
20 52 51 24 48 143 NA 17 12 1 11 9 19 NA NA
19 51 72 34 59 117 NA 21 13 1 3 14 18 NA NA
23 53 72 26 70 117 NA 16 7 NA 1 7 17 5 NA
12 63 60 14 71 118 1 9 3 NA 8 6 19 NA NA
19 51 42 35 32 137 1 18 11 NA 3 12 12 NA NA
6 44 46 20 42 123 NA 14 12 NA 13 4 7 NA NA
26 68 75 44 68 120 NA 19 12 1 15 8 33 2 NA
20 56 56 23 55 121 1 20 15 1 3 8 17 NA NA
19 52 52 26 75 131 NA 11 7 NA 7 7 20 NA NA
23 51 53 16 55 134 NA 21 14 NA 7 13 27 1 NA
22 65 62 33 67 179 NA 20 8 NA 3 14 26 2 NA
19 57 71 40 55 117 NA 21 11 NA 8 3 31 2 NA
18 62 80 33 65 150 NA 13 9 NA 5 7 27 NA NA
14 41 53 25 55 148 NA 22 9 NA 8 7 15 NA NA
16 47 57 31 43 146 1 15 7 NA 6 3 14 NA NA
39 81 66 27 47 105 NA 4 5 NA 4 3 21 1 NA
30 61 81 35 62 135 NA 7 10 1 6 3 20 NA NA
22 65 97 30 66 126 NA 9 17 NA 4 6 41 NA NA
17 49 51 42 55 135 2 18 9 NA 7 9 20 1 NA
18 58 60 25 52 111 NA 14 6 NA 5 7 22 1 NA
18 51 50 26 47 146 NA 13 4 1 5 4 25 NA NA
30 54 46 42 52 147 NA 13 6 NA 9 9 25 NA NA
22 54 82 37 77 105 NA 15 13 NA 8 7 17 1 NA
8 47 73 32 82 152 NA 13 13 1 7 7 29 2 NA
19 56 72 31 56 116 NA 13 16 1 7 12 18 NA NA
22 57 69 16 52 130 NA 21 8 NA 11 11 29 1 NA
16 42 70 20 44 117 NA 13 7 NA 5 5 23 NA NA
26 66 76 36 64 129 NA 20 8 NA 5 7 15 NA NA
26 53 63 40 31 139 NA 11 12 NA 4 14 19 1 NA
16 59 63 33 66 128 1 10 17 1 7 7 26 NA NA
16 56 69 25 46 148 NA 19 7 1 4 9 21 NA NA
23 52 68 43 68 118 NA 7 8 NA 4 15 25 NA NA
14 55 77 30 47 132 1 7 9 NA 3 12 40 2 NA
22 64 75 32 52 109 1 18 7 NA 6 3 18 NA NA
22 68 68 37 73 125 NA 16 7 NA 1 5 27 1 NA
19 52 60 40 67 141 NA 18 19 NA 7 12 21 NA NA
9 53 55 30 50 127 NA 13 16 1 4 9 25 NA NA
31 59 62 31 67 130 NA 11 12 NA 3 11 30 NA NA
14 33 62 28 65 129 NA 12 11 NA 11 7 37 NA NA
23 53 75 31 51 132 NA 24 7 1 7 10 23 NA NA
25 64 61 28 54 146 1 10 12 NA 7 6 22 1 NA
7 41 69 34 67 116 NA 18 6 NA 3 15 24 NA NA
17 47 51 34 46 152 NA 11 8 NA 8 7 31 1 NA
18 54 64 20 40 137 NA 19 7 1 6 12 23 NA NA
16 44 66 36 61 139 NA 18 18 NA 6 14 25 3 NA
24 59 61 22 51 131 NA 14 12 1 7 12 31 NA NA
22 61 71 44 74 141 NA 12 7 NA 5 5 21 NA NA
18 41 56 25 54 118 NA 12 8 1 9 9 14 2 NA
15 46 66 26 52 121 NA 12 10 1 9 5 26 NA NA
12 53 71 25 71 128 NA 12 8 1 3 5 25 NA NA
20 45 53 34 58 138 NA 11 10 NA 7 3 20 1 NA
25 61 56 38 37 137 NA 14 4 1 1 11 10 1 NA
17 41 65 22 40 107 NA 19 7 NA 7 21 34 1 NA
15 59 70 24 48 118 1 19 14 1 4 4 24 1 NA
30 68 66 40 52 139 NA 19 12 NA 4 13 19 NA NA
37 83 66 43 52 142 NA 12 10 1 3 11 19 NA NA
14 20 62 30 57 127 1 17 17 NA 7 10 25 NA NA
15 38 54 33 56 139 2 13 7 NA 5 12 15 1 NA
35 74 62 31 47 132 NA 14 7 NA 14 9 23 NA NA
24 54 74 31 50 131 NA 9 16 NA 4 10 25 NA NA
30 54 77 35 57 155 1 15 11 NA 11 9 24 NA NA
27 42 49 39 27 137 NA 10 8 1 7 10 19 2 NA
11 48 58 32 62 123 NA 22 11 NA 2 9 20 NA NA
21 58 59 30 62 131 1 12 8 NA 8 11 25 2 NA
18 54 90 26 67 165 NA 18 15 NA 3 9 23 NA NA
23 60 63 39 60 114 NA 14 8 3 7 9 14 NA NA
22 47 48 33 59 140 NA 14 3 NA 6 7 13 NA NA
29 62 71 28 55 117 2 19 7 NA 4 5 25 NA NA
12 41 57 43 51 155 3 16 10 NA 3 11 17 NA NA
24 64 78 47 69 114 NA 10 11 NA 1 14 16 2 NA
