"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.33 NA 0.78 NA 7 3 7 3 100 1.29
"2" "kukd" 155 0 0 1 NA 74 15 76 12 100 2.09
"3" "kuku" 932 0 0 1 NA 452 36 454 40 100 2.06
"4" "pkd" 109 0.6 NA 0.44 NA 109 17 111 12 100 1
"5" "pku" 1195 0 0 1 NA 503 53 506 50 100 2.38
"6" "pp" 1478 0 0 1 NA 924 43 924 41 100 1.6
"7" "tdkd" 20 0.01 NA 0.99 NA 10 4 11 3 100 2
"8" "tdku" 30 0 0 1 NA 11 5 11 4 100 2.73
"9" "tdp" 145 0.01 NA 0.99 NA 111 12 112 10 100 1.31
"10" "tdtd" 11 0.57 NA 0.59 NA 11 3 11 3 100 1
"11" "tukd" 35 0.17 NA 0.86 NA 27 8 27 7 100 1.3
"12" "tuku" 1 0.38 NA 0.88 NA 1 1 0 0 100 1
"13" "tup" 146 0.01 NA 0.99 NA 108 18 106 16 100 1.35
"14" "tutd" 12 0.97 NA 0.04 NA 26 8 26 6 100 0.46
"15" "tutu" 770 0.13 NA 0.87 NA 721 44 719 40 100 1.07
