"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 35 12 33 10 100 3.69
"2" "kukd" 316 0 0 1 NA 109 16 108 17 100 2.9
"3" "kuku" 1097 0 0 1 NA 313 29 312 33 100 3.5
"4" "pkd" 612 0 0 1 NA 80 14 80 13 100 7.65
"5" "pku" 1177 0 0 1 NA 261 34 265 31 100 4.51
"6" "pp" 13890 0 0 1 NA 476 32 476 33 100 29.18
"7" "tdkd" 28 0.01 NA 0.99 NA 10 6 9 6 100 2.8
"8" "tdku" 50 0 0 1 NA 8 5 7 3 100 6.25
"9" "tdp" 592 0 0 1 NA 63 12 62 12 100 9.4
"10" "tdtd" 41 0 0 1 NA 15 5 15 4 100 2.73
"11" "tukd" 17 0.04 NA 0.99 NA 8 4 8 3 100 2.12
"12" "tuku" 0 1 NA 0.94 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 27 7 27 6 100 6.41
"14" "tutd" 21 0.07 NA 0.94 NA 14 5 13 4 100 1.5
"15" "tutu" 353 0 0 1 NA 69 11 69 12 100 5.12
