"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0 0 1 NA 21 6 20 7 100 2.14
"2" "kukd" 100 0 0 1 NA 54 13 54 11 100 1.85
"3" "kuku" 113 0 0 1 NA 65 11 65 10 100 1.74
"4" "pkd" 94 0 0 1 NA 30 8 30 8 100 3.13
"5" "pku" 105 0 0 1 NA 57 13 56 12 100 1.84
"6" "pp" 3363 0 0 1 NA 129 16 130 17 100 26.07
"7" "tdkd" 1 0.37 NA 0.85 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.89 NA 0 0 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 5 15 4 100 2.53
"10" "tdtd" 17 0.11 NA 0.91 NA 11 4 10 4 100 1.55
"11" "tukd" 0 1 NA 0.64 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.99 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 6 3 100 6.5
"14" "tutd" 11 0.38 NA 0.7 NA 9 4 9 4 100 1.22
"15" "tutu" 40 0 0 1 NA 22 5 21 6 100 1.82
