"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tdku" "tuku"
20 51 80 12 57 153 1 13 14 5 13 20 NA NA NA
25 59 63 21 70 152 2 18 9 5 14 22 1 NA NA
31 62 65 31 55 131 1 24 10 10 9 29 1 NA NA
23 28 76 32 58 133 1 11 13 8 15 17 NA NA NA
16 28 54 20 42 109 NA 22 18 6 19 19 NA NA NA
19 48 72 30 76 157 NA 10 16 2 9 16 NA NA NA
21 60 66 38 41 133 NA 11 4 2 11 33 NA NA NA
20 56 69 32 61 126 NA 19 19 5 14 26 NA NA NA
22 48 51 28 57 140 NA 13 12 11 14 21 1 1 NA
19 58 58 37 49 143 1 14 3 2 10 25 3 NA NA
9 50 56 34 48 119 NA 4 12 1 6 17 1 NA NA
25 77 104 20 77 113 1 18 10 4 15 22 NA NA 1
26 57 64 28 56 117 1 17 10 7 7 30 NA 1 NA
27 28 75 39 68 122 NA 7 5 5 5 11 NA NA NA
9 45 57 30 52 123 NA 14 19 2 8 22 NA 1 NA
29 75 53 32 47 135 1 22 14 5 4 17 NA NA NA
39 62 70 20 72 121 4 17 23 8 14 15 3 NA NA
19 60 73 35 57 114 1 12 14 5 7 30 1 NA NA
18 34 71 19 65 140 1 21 12 3 9 24 NA 1 NA
15 57 66 33 45 142 NA 12 8 11 3 20 NA NA NA
17 43 53 21 38 142 NA 15 10 5 10 23 2 NA NA
15 35 49 22 57 127 2 9 6 1 1 27 1 NA NA
31 92 74 13 42 112 NA 7 8 4 6 20 NA NA NA
22 49 54 28 45 125 NA 15 9 9 8 26 NA NA NA
26 67 70 27 50 127 NA 18 14 5 3 16 1 NA NA
11 48 68 28 55 97 NA 11 7 3 9 18 NA NA NA
19 44 56 32 59 126 NA 20 6 6 15 13 NA NA NA
21 47 55 39 56 144 1 19 6 6 10 20 1 NA NA
18 48 67 27 18 98 2 18 5 9 6 12 NA NA NA
30 60 80 27 29 123 NA 9 16 8 4 19 NA NA NA
28 59 69 43 63 128 NA 12 6 7 8 22 NA NA NA
10 48 70 25 49 116 1 17 19 3 3 17 3 NA NA
15 45 59 24 37 139 NA 19 14 3 13 27 NA NA NA
29 68 59 32 52 104 NA 5 11 5 11 23 1 NA NA
21 47 82 20 45 145 NA 5 17 13 9 21 NA NA NA
14 51 51 26 48 142 NA 16 15 8 12 14 NA NA NA
11 42 60 28 56 125 NA 9 10 7 11 19 NA NA NA
28 73 63 30 46 134 NA 15 15 4 19 27 1 NA NA
28 73 66 45 51 147 1 5 8 3 11 21 NA NA NA
31 64 56 45 60 118 2 17 8 3 10 15 NA NA NA
17 36 77 12 49 87 NA 7 11 1 9 21 NA NA NA
14 54 70 39 58 151 NA 11 12 8 9 23 NA NA NA
28 69 104 30 71 147 1 15 10 6 10 26 NA NA NA
24 25 55 31 60 117 2 17 20 7 14 17 NA NA NA
18 23 75 50 77 114 3 22 5 5 8 26 3 NA NA
14 55 69 26 57 150 1 17 11 6 7 20 1 NA NA
23 47 59 14 64 125 3 24 11 6 16 25 NA NA NA
11 55 61 32 60 129 1 17 7 6 10 19 2 1 NA
27 61 69 28 57 132 NA 20 12 11 14 25 1 NA NA
24 66 43 42 38 91 NA 18 9 3 3 24 1 NA NA
32 65 65 39 46 152 NA 14 12 7 6 21 NA NA NA
9 41 44 26 61 105 NA 12 13 6 15 27 1 1 NA
25 76 65 35 50 96 3 10 3 3 7 33 2 NA NA
19 50 51 31 63 129 3 21 12 11 4 31 1 NA NA
27 73 71 36 59 138 2 15 6 9 5 22 1 NA NA
20 27 82 25 59 131 NA 8 22 7 8 21 NA 1 NA
15 62 89 33 50 103 NA 15 6 6 12 22 NA NA NA
20 49 69 28 58 119 NA 18 9 12 11 19 NA NA NA
18 44 60 44 81 137 1 23 12 NA 12 21 NA NA NA
18 54 76 26 73 119 NA 10 14 6 6 19 NA NA NA
24 66 63 46 71 148 NA 15 8 1 3 17 1 NA NA
28 66 59 39 62 141 NA 21 12 9 9 29 NA NA NA
16 44 54 25 45 111 NA 17 10 6 7 20 NA NA NA
30 58 65 25 61 137 3 11 8 6 10 24 NA NA NA
16 58 72 23 53 139 NA 21 4 8 9 23 NA NA NA
14 49 69 32 55 133 NA 13 6 4 8 17 NA 2 NA
17 62 65 34 54 116 NA 16 16 3 11 20 NA NA NA
23 38 46 32 46 131 1 19 15 3 8 14 NA NA NA
20 52 69 31 70 142 NA 9 7 3 6 23 NA NA NA
21 48 63 54 74 131 NA 15 8 9 12 22 1 NA NA
22 58 81 27 53 129 NA 20 7 3 7 17 1 NA NA
22 54 62 37 82 143 NA 8 9 10 5 24 3 2 NA
21 47 65 33 44 114 NA 13 9 6 10 18 1 NA NA
7 37 70 28 48 141 NA 14 10 6 10 27 NA NA NA
32 81 87 26 64 117 NA 15 8 9 12 29 NA NA NA
26 55 51 25 29 130 NA 16 16 2 12 18 1 NA NA
17 57 56 34 78 129 2 16 12 6 4 28 NA NA NA
18 34 59 36 49 135 NA 13 13 8 14 21 NA NA NA
26 58 54 21 41 126 1 18 16 4 13 14 1 NA NA
19 61 56 36 68 173 NA 13 14 1 4 20 NA NA NA
14 66 79 23 42 104 2 26 15 7 14 26 1 NA NA
14 47 53 35 65 114 NA 15 7 6 12 24 NA NA NA
28 52 50 33 53 122 NA 14 10 7 5 18 NA 1 NA
14 60 61 37 51 137 NA 10 9 6 7 28 NA NA NA
12 44 55 19 49 133 NA 22 10 6 12 15 NA NA NA
14 43 59 38 48 136 1 20 10 3 11 20 1 1 NA
5 47 75 19 69 128 4 24 14 7 12 29 1 NA NA
21 50 67 24 49 118 NA 9 9 4 4 23 NA NA NA
21 57 61 31 43 109 NA 9 9 6 5 17 NA NA NA
21 69 67 42 70 128 1 26 10 16 11 34 1 NA NA
21 69 61 43 67 118 NA 7 5 5 6 18 NA NA NA
18 56 87 13 51 154 1 14 14 2 12 20 NA NA NA
18 64 65 26 60 131 1 18 11 7 12 16 1 NA NA
25 74 66 25 66 131 NA 23 22 3 13 25 NA NA NA
31 57 60 39 58 122 NA 14 18 5 9 21 NA NA NA
13 38 69 33 65 152 NA 15 14 9 8 25 1 NA NA
20 65 68 53 102 171 NA 18 17 2 4 28 NA NA NA
22 52 47 31 73 130 NA 14 7 7 6 26 NA NA NA
26 68 82 30 67 141 NA 15 9 10 10 31 NA NA NA
27 48 57 29 56 141 NA 14 14 6 2 21 NA NA NA
