"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 62 18 62 16 100 3.45
"2" "kukd" 438 0 0 1 NA 237 27 237 25 100 1.85
"3" "kuku" 2103 0 0 1 NA 1247 62 1244 66 100 1.69
"4" "pkd" 981 0 0 1 NA 524 30 523 31 100 1.87
"5" "pku" 2297 0 0 1 NA 1561 84 1558 87 100 1.47
"6" "pp" 18008 0 0 1 NA 5466 130 5450 124 100 3.29
"7" "tdkd" 88 0.13 NA 0.88 NA 65 19 62 19 100 1.35
"8" "tdku" 76 0 0 1 NA 39 10 39 10 100 1.95
"9" "tdp" 1205 0 0 1 NA 694 38 688 35 100 1.74
"10" "tdtd" 231 0.15 NA 0.85 NA 179 46 171 41 100 1.29
"11" "tukd" 111 0.51 NA 0.53 NA 110 15 111 13 100 1.01
"12" "tuku" 1 0.64 NA 0.65 NA 2 2 1 1 100 0.5
"13" "tup" 583 0 0 1 NA 493 52 498 34 100 1.18
"14" "tutd" 123 0.51 NA 0.52 NA 123 20 123 18 100 1
"15" "tutu" 4391 0 0 1 NA 3159 105 3160 116 100 1.39
