"group" "motif_type" "counts" "total_count"
"1" "others" 2 89
"1" "others" 3 25
"1" "others" 4 6
"1" "others" 5 5
"1" "others" 6 3
"1" "others" 7 1
"1" "others" 8 1
"1" "others" 9 4
"1" "others" 14 1
"1" "others" 18 1
"1" "others" 33 1
"1" "protein_complexes" 2 389
"1" "protein_complexes" 3 65
"1" "protein_complexes" 4 19
"1" "protein_complexes" 5 12
"1" "protein_complexes" 6 5
"1" "protein_complexes" 7 1
"1" "protein_complexes" 9 1
"1" "protein_complexes" 10 2
"1" "protein_complexes" 11 1
"1" "regulatory_triplets" 2 188
"1" "regulatory_triplets" 3 27
"1" "regulatory_triplets" 4 8
"1" "regulatory_triplets" 5 4
"1" "regulatory_triplets" 6 2
"1" "regulatory_triplets" 7 3
"1" "regulatory_triplets" 8 2
"1" "regulatory_triplets" 29 1
"1" "signaling_triplets" 2 222
"1" "signaling_triplets" 3 41
"1" "signaling_triplets" 4 10
"1" "signaling_triplets" 5 7
"1" "signaling_triplets" 6 5
"1" "signaling_triplets" 7 1
"1" "signaling_triplets" 9 1
"2" "others" 2 58
"2" "others" 3 21
"2" "others" 4 7
"2" "others" 5 3
"2" "others" 6 4
"2" "others" 7 5
"2" "others" 9 2
"2" "others" 10 1
"2" "others" 11 1
"2" "others" 12 3
"2" "others" 14 2
"2" "others" 16 2
"2" "others" 56 1
"2" "protein_complexes" 2 405
"2" "protein_complexes" 3 75
"2" "protein_complexes" 4 19
"2" "protein_complexes" 5 8
"2" "protein_complexes" 6 5
"2" "regulatory_triplets" 2 169
"2" "regulatory_triplets" 3 16
"2" "regulatory_triplets" 4 10
"2" "regulatory_triplets" 5 3
"2" "regulatory_triplets" 6 2
"2" "regulatory_triplets" 7 1
"2" "signaling_triplets" 2 207
"2" "signaling_triplets" 3 46
"2" "signaling_triplets" 4 12
"2" "signaling_triplets" 5 5
"2" "signaling_triplets" 6 2
"2" "signaling_triplets" 8 1
"2" "signaling_triplets" 9 1
"3" "others" 2 73
"3" "others" 3 16
"3" "others" 4 11
"3" "others" 5 3
"3" "others" 6 5
"3" "others" 7 2
"3" "others" 8 2
"3" "others" 10 2
"3" "others" 11 2
"3" "others" 12 1
"3" "others" 14 1
"3" "others" 15 1
"3" "others" 20 1
"3" "others" 30 1
"3" "others" 36 1
"3" "protein_complexes" 2 423
"3" "protein_complexes" 3 76
"3" "protein_complexes" 4 23
"3" "protein_complexes" 5 8
"3" "protein_complexes" 6 3
"3" "protein_complexes" 7 3
"3" "regulatory_triplets" 2 176
"3" "regulatory_triplets" 3 28
"3" "regulatory_triplets" 4 10
"3" "regulatory_triplets" 5 8
"3" "regulatory_triplets" 6 1
"3" "regulatory_triplets" 7 3
"3" "regulatory_triplets" 10 1
"3" "regulatory_triplets" 13 1
"3" "signaling_triplets" 2 241
"3" "signaling_triplets" 3 37
"3" "signaling_triplets" 4 16
"3" "signaling_triplets" 5 3
"3" "signaling_triplets" 6 3
"3" "signaling_triplets" 7 2
"3" "signaling_triplets" 8 1
"3" "signaling_triplets" 15 1
"4" "others" 2 58
"4" "others" 3 11
"4" "others" 4 5
"4" "others" 5 6
"4" "others" 6 5
"4" "others" 7 2
"4" "others" 8 1
"4" "others" 9 1
"4" "others" 10 2
"4" "others" 11 1
"4" "others" 13 3
"4" "others" 14 1
"4" "others" 24 1
"4" "protein_complexes" 2 426
"4" "protein_complexes" 3 69
"4" "protein_complexes" 4 23
"4" "protein_complexes" 5 10
"4" "protein_complexes" 6 2
"4" "protein_complexes" 7 2
"4" "protein_complexes" 8 2
"4" "protein_complexes" 9 1
"4" "regulatory_triplets" 2 176
"4" "regulatory_triplets" 3 32
"4" "regulatory_triplets" 4 7
"4" "regulatory_triplets" 5 1
"4" "regulatory_triplets" 6 2
"4" "signaling_triplets" 2 238
"4" "signaling_triplets" 3 49
"4" "signaling_triplets" 4 11
"4" "signaling_triplets" 5 4
"4" "signaling_triplets" 7 1
"4" "signaling_triplets" 11 1
"5" "others" 2 76
"5" "others" 3 18
"5" "others" 4 3
"5" "others" 5 7
"5" "others" 6 5
"5" "others" 7 5
"5" "others" 8 1
"5" "others" 9 3
"5" "others" 11 1
"5" "others" 13 1
"5" "others" 19 1
"5" "protein_complexes" 2 393
"5" "protein_complexes" 3 61
"5" "protein_complexes" 4 15
"5" "protein_complexes" 5 13
"5" "protein_complexes" 6 1
"5" "protein_complexes" 7 1
"5" "protein_complexes" 8 2
"5" "protein_complexes" 10 1
"5" "regulatory_triplets" 2 211
"5" "regulatory_triplets" 3 23
"5" "regulatory_triplets" 4 10
"5" "regulatory_triplets" 5 6
"5" "regulatory_triplets" 6 2
"5" "regulatory_triplets" 7 1
"5" "signaling_triplets" 2 218
"5" "signaling_triplets" 3 39
"5" "signaling_triplets" 4 12
"5" "signaling_triplets" 5 4
"5" "signaling_triplets" 6 1
"5" "signaling_triplets" 7 1
"6" "others" 2 68
"6" "others" 3 15
"6" "others" 4 7
"6" "others" 5 8
"6" "others" 6 4
"6" "others" 7 6
"6" "others" 8 1
"6" "others" 11 2
"6" "others" 12 1
"6" "others" 13 2
"6" "others" 15 1
"6" "others" 16 1
"6" "others" 30 1
"6" "others" 31 1
"6" "protein_complexes" 2 409
"6" "protein_complexes" 3 70
"6" "protein_complexes" 4 24
"6" "protein_complexes" 5 3
"6" "protein_complexes" 6 1
"6" "protein_complexes" 11 1
"6" "protein_complexes" 12 1
"6" "regulatory_triplets" 2 181
"6" "regulatory_triplets" 3 39
"6" "regulatory_triplets" 4 5
