"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 54 12 24 NA NA NA
"ku" "kd" 219 5 19 4 NA NA
"ku" "ku" 1263 12 7 11 2 2
"p" "kd" 460 8 24 19 NA NA
"p" "ku" 1471 12 6 24 1 1
"p" "p" 5362 6 7 153 1 NA
"td" "kd" 67 NA 4 NA 12 NA
"td" "ku" 26 NA NA NA 1 NA
"td" "p" 637 NA 2 3 26 NA
"td" "td" 66 NA NA 8 NA 1
"tu" "kd" 118 NA 1 NA NA NA
"tu" "p" 485 NA 1 1 NA 2
"tu" "td" 95 NA NA 1 NA 12
"tu" "tu" 3040 1 NA 6 3 1
"kd" "kd" 32 6 1 7 NA NA
"ku" "kd" 188 3 22 9 2 NA
"ku" "ku" 1177 11 11 15 NA 1
"p" "kd" 472 1 22 17 4 NA
"p" "ku" 1576 13 1 28 1 2
"p" "p" 5323 4 9 110 NA 1
"td" "kd" 72 NA 12 NA 12 NA
"td" "ku" 41 NA 1 NA 1 NA
"td" "p" 672 NA 5 7 22 NA
"td" "td" 197 NA NA NA 35 62
"tu" "kd" 101 1 1 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 520 NA 1 9 NA NA
"tu" "td" 123 NA NA NA NA 10
"tu" "tu" 2976 1 NA 6 2 5
"kd" "kd" 22 30 55 30 NA NA
"ku" "kd" 173 18 39 19 NA NA
"ku" "ku" 1272 14 13 19 NA 1
"p" "kd" 463 19 30 23 NA NA
"p" "ku" 1554 10 7 21 NA NA
"p" "p" 5317 5 9 116 4 1
"td" "kd" 32 NA NA NA NA NA
"td" "ku" 41 NA NA NA 3 NA
"td" "p" 635 NA 1 11 23 3
"td" "td" 128 NA NA NA 27 7
"tu" "kd" 106 NA NA NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 257 NA NA 7 NA NA
"tu" "td" 108 NA NA NA NA 5
"tu" "tu" 3224 1 NA 9 3 6
"kd" "kd" 34 8 7 NA NA NA
"ku" "kd" 212 6 27 1 NA NA
"ku" "ku" 1170 4 10 8 3 4
"p" "kd" 488 5 26 13 4 NA
"p" "ku" 1756 1 3 11 2 3
"p" "p" 5570 5 17 134 1 6
"td" "kd" 75 NA 8 NA 11 NA
"td" "ku" 39 NA NA NA 3 NA
"td" "p" 622 1 4 2 40 1
"td" "td" 148 NA NA 1 23 55
"tu" "kd" 111 NA 1 3 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 496 NA NA 1 NA 2
"tu" "td" 110 NA NA 1 NA 11
"tu" "tu" 3098 1 NA 14 2 7
"kd" "kd" 24 16 9 NA NA NA
"ku" "kd" 230 5 30 6 NA NA
"ku" "ku" 1222 12 14 6 1 1
"p" "kd" 517 6 20 48 1 NA
"p" "ku" 1626 4 5 22 NA 2
"p" "p" 5305 5 8 155 4 4
"td" "kd" 72 NA NA NA NA NA
"td" "ku" 38 NA NA NA 1 NA
"td" "p" 687 NA NA 9 35 1
"td" "td" 202 NA NA 3 11 101
"tu" "kd" 97 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 578 NA 1 5 NA NA
"tu" "td" 96 NA NA NA 1 3
"tu" "tu" 3218 NA 2 14 4 5
"kd" "kd" 47 8 17 9 NA NA
"ku" "kd" 255 5 20 3 NA NA
"ku" "ku" 1278 5 10 11 1 1
"p" "kd" 483 2 38 26 NA NA
"p" "ku" 1557 6 3 20 NA 1
"p" "p" 5146 5 13 141 7 2
"td" "kd" 57 NA 15 2 NA NA
"td" "ku" 39 NA NA NA NA NA
"td" "p" 660 NA 8 4 32 NA
"td" "td" 176 NA NA NA NA NA
"tu" "kd" 51 NA 3 NA NA NA
"tu" "p" 515 NA NA 3 NA 1
"tu" "td" 124 NA NA NA NA 9
"tu" "tu" 3055 NA 3 11 NA 3
"kd" "kd" 35 31 12 1 NA NA
"ku" "kd" 188 17 31 11 NA NA
"ku" "ku" 1256 28 9 12 NA 1
"p" "kd" 482 6 23 18 NA NA
"p" "ku" 1578 7 9 28 2 NA
"p" "p" 5387 4 7 131 NA 3
"td" "kd" 56 NA 4 1 NA NA
"td" "ku" 51 NA NA NA NA NA
"td" "p" 693 NA 1 9 20 NA
"td" "td" 169 NA NA 2 12 19
"tu" "kd" 139 NA 1 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 576 NA 1 7 NA 1
"tu" "td" 112 NA NA NA NA 9
"tu" "tu" 3156 NA NA 12 1 2
"kd" "kd" 59 5 1 NA NA NA
"ku" "kd" 224 4 25 1 NA NA
"ku" "ku" 1270 17 13 14 1 5
"p" "kd" 483 NA 17 7 2 NA
"p" "ku" 1569 6 3 11 1 4
"p" "p" 5324 4 9 134 4 3
"td" "kd" 38 NA 2 6 1 NA
"td" "ku" 62 NA NA NA 2 NA
"td" "p" 675 NA NA 3 30 NA
"td" "td" 152 NA NA NA 2 4
"tu" "kd" 115 NA 3 NA 1 NA
"tu" "ku" 1 NA NA 1 NA NA
"tu" "p" 410 NA 3 3 NA NA
"tu" "td" 102 NA NA 1 NA 4
"tu" "tu" 3194 1 1 16 2 1
"kd" "kd" 58 6 1 NA NA NA
"ku" "kd" 211 2 20 3 NA NA
"ku" "ku" 1174 13 11 10 NA NA
"p" "kd" 467 1 21 10 NA NA
"p" "ku" 1415 4 7 13 NA 1
"p" "p" 5256 7 11 127 6 NA
"td" "kd" 64 NA 7 NA 1 NA
"td" "ku" 46 NA 2 NA 3 NA
"td" "p" 655 NA 4 2 25 1
"td" "td" 118 NA NA NA 15 13
"tu" "kd" 111 NA 4 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 455 NA NA 1 1 NA
"tu" "td" 118 1 NA NA NA 15
"tu" "tu" 3006 1 1 9 2 2
"kd" "kd" 34 23 7 NA NA NA
