"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 100 3.08
"2" "kukd" 21 0 0 1 NA 14 4 15 3 100 1.5
"3" "kuku" 12 0.16 NA 0.99 NA 10 1 10 1 100 1.2
"4" "pkd" 128 0 0 1 NA 79 11 79 7 100 1.62
"5" "pku" 12 0.72 NA 0.28 NA 17 5 19 3 100 0.71
"6" "pp" 193 0 0 1 NA 121 7 121 7 100 1.6
"7" "tdkd" 28 0.16 NA 0.85 NA 21 7 21 7 100 1.33
"8" "tdku" 10 0.1 NA 0.94 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.01 NA 1 NA 83 8 83 8 100 1.2
"10" "tdtd" 34 0.18 NA 0.84 NA 28 7 28 6 100 1.21
"11" "tukd" 8 0.71 NA 0.37 NA 9 3 9 3 100 0.89
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.05 NA 0.99 NA 14 4 15 3 100 1.36
"14" "tutd" 4 1 NA 0.02 NA 10 3 11 1 100 0.4
"15" "tutu" 11 0.31 NA 0.9 NA 10 1 10 1 100 1.1
