"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 13 3 100 3.08
"2" "kukd" 21 0.19 NA 0.92 NA 17 4 17 3 100 1.24
"3" "kuku" 16 0.3 NA 0.87 NA 15 1 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 71 9 72 7 100 1.41
"5" "pku" 31 0.1 NA 0.98 NA 25 5 27 3 100 1.24
"6" "pp" 227 0 0 1 NA 163 7 163 6 100 1.39
"7" "tdkd" 12 0.49 NA 0.61 NA 12 5 11 4 100 1
"8" "tdku" 5 0.37 NA 0.8 NA 4 2 4 3 100 1.25
"9" "tdp" 93 0.04 NA 0.98 NA 77 10 78 7 100 1.21
"10" "tdtd" 22 0.4 NA 0.65 NA 21 6 20 6 100 1.05
"11" "tukd" 16 0.87 NA 0.14 NA 21 5 22 3 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0.02 NA 0.99 NA 35 7 37 3 100 1.26
"14" "tutd" 8 1 NA 0 0 20 5 21 4 100 0.4
"15" "tutu" 30 0.08 NA 0.97 NA 26 2 26 3 100 1.15
