"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
21 27 90 59 87 346 35 1 4 24 3 145 NA NA NA
27 27 90 51 108 354 30 NA 8 15 4 157 1 1 NA
14 26 90 47 104 376 24 6 5 15 2 153 1 3 NA
11 11 81 33 117 407 37 7 8 18 2 156 1 1 NA
NA 13 87 31 111 371 33 17 8 30 4 132 15 4 NA
2 22 78 51 107 382 34 1 5 8 4 119 1 NA NA
2 14 82 46 93 339 33 3 8 27 6 160 4 NA NA
NA 15 65 51 72 346 33 5 8 26 2 170 1 NA NA
28 27 84 51 102 395 30 8 7 21 7 130 3 1 NA
16 32 75 49 104 402 35 6 9 31 6 153 3 NA NA
1 16 87 44 89 386 26 6 8 23 5 169 6 NA NA
11 13 61 35 73 330 32 23 9 25 7 151 4 2 NA
2 15 65 34 97 373 19 4 10 27 7 147 1 1 NA
10 29 98 44 106 322 24 15 3 27 2 156 1 3 NA
10 20 84 36 79 354 39 2 5 24 3 168 2 NA NA
4 16 85 37 88 348 22 NA 13 31 3 135 3 2 NA
4 14 84 27 91 362 34 1 4 25 1 158 4 3 1
2 24 90 57 101 349 27 NA 7 24 8 149 3 NA NA
18 28 61 65 96 359 32 9 7 32 NA 139 1 NA NA
4 24 86 49 93 401 14 7 14 34 7 147 2 3 NA
9 33 88 36 108 400 37 2 5 34 4 132 1 4 NA
6 26 79 47 92 360 29 1 10 36 6 172 1 NA NA
2 30 78 43 105 379 31 1 4 41 NA 176 3 3 NA
23 28 60 43 90 354 16 1 7 20 4 178 2 2 NA
8 14 87 46 92 425 39 16 6 20 10 132 1 1 NA
1 19 83 36 52 379 33 8 8 33 4 176 1 1 NA
3 21 76 42 106 357 25 4 9 24 2 132 NA 2 NA
24 23 73 52 106 353 32 21 8 30 3 151 7 1 NA
22 30 94 54 125 360 34 20 10 28 1 123 NA NA NA
33 26 87 41 91 383 17 2 10 26 2 168 1 1 NA
3 16 92 42 96 392 31 8 7 21 5 148 12 1 NA
21 31 102 48 118 364 31 9 3 31 8 159 NA 2 NA
17 30 101 61 102 350 34 NA 15 29 5 151 7 1 NA
18 27 80 56 108 401 32 1 7 25 2 171 NA 1 NA
11 24 80 42 97 375 37 7 NA 31 5 141 3 NA NA
13 17 80 37 96 335 21 12 7 18 2 183 3 1 1
4 13 70 37 103 372 34 3 6 22 5 152 1 1 NA
12 31 86 53 97 346 36 1 9 37 1 142 NA NA NA
NA 17 80 46 50 361 32 15 5 27 1 133 1 NA NA
12 34 96 41 117 349 31 2 6 20 8 125 10 3 NA
6 21 87 43 91 352 19 2 9 31 3 139 3 NA 1
19 24 92 40 116 360 29 13 4 18 6 140 NA 1 NA
NA 18 104 45 45 342 30 5 9 30 12 137 2 3 NA
4 24 97 42 97 345 42 3 9 29 8 154 1 1 NA
24 19 67 41 93 351 27 3 11 13 6 155 2 2 NA
18 34 82 47 101 340 20 7 5 33 2 141 NA 1 NA
8 12 76 26 110 414 35 NA 6 23 4 173 4 3 NA
12 38 92 43 114 394 27 NA 6 24 3 177 1 1 NA
19 29 83 49 122 367 44 7 3 13 8 146 8 1 NA
1 13 61 25 88 384 35 NA 3 17 5 133 1 3 1
6 35 82 47 110 362 35 2 7 27 2 146 NA 1 NA
9 28 68 36 73 351 45 6 3 13 1 157 14 4 NA
11 22 74 42 48 383 32 3 8 23 1 149 5 2 NA
4 19 92 38 101 381 34 7 7 27 5 152 12 3 1
7 16 73 41 105 363 25 12 5 23 3 145 NA NA NA
20 35 75 44 106 361 19 NA 9 27 3 161 2 4 NA
12 9 76 41 91 352 23 16 2 17 8 173 2 1 NA
10 11 63 40 109 385 36 5 8 21 3 149 5 NA NA
1 26 72 34 87 348 33 2 5 14 2 139 2 3 NA
4 15 92 44 93 339 23 19 6 30 3 138 2 6 NA
12 24 97 50 107 366 31 6 3 18 6 164 1 NA NA
14 20 74 47 47 365 36 2 11 17 6 158 1 6 NA
8 18 80 47 78 372 24 1 8 29 5 137 NA NA NA
11 25 97 50 88 331 25 NA 3 16 2 146 3 1 NA
5 29 95 38 109 353 30 2 12 27 2 137 1 1 NA
15 16 90 34 94 386 47 2 3 12 2 170 2 2 NA
24 35 90 36 95 368 29 7 5 22 1 152 2 1 NA
1 21 88 50 94 354 35 NA 8 39 3 142 1 2 NA
NA 17 84 39 86 367 32 1 5 28 5 137 6 2 NA
1 14 80 44 110 428 39 7 13 31 4 133 NA NA NA
10 25 82 42 80 357 30 13 11 30 5 146 NA NA NA
4 22 86 36 93 376 38 1 8 17 3 143 9 2 NA
13 37 95 45 74 380 21 NA 5 30 5 161 1 1 NA
11 30 76 49 44 408 40 2 8 18 4 152 2 1 NA
1 23 70 19 95 356 38 1 9 10 1 167 1 3 NA
8 8 75 35 82 320 17 1 7 14 1 125 2 2 NA
17 12 92 52 109 372 37 1 8 25 5 171 NA NA NA
9 34 82 33 98 359 42 22 10 12 5 136 6 3 NA
