"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 27 8 5 3 NA NA
"ku" "kd" 231 NA 20 5 NA NA
"ku" "ku" 1221 8 9 8 1 NA
"p" "kd" 499 1 26 14 NA NA
"p" "ku" 1487 1 7 20 1 NA
"p" "p" 5350 5 9 118 5 2
"td" "kd" 56 NA 8 NA NA NA
"td" "ku" 45 NA NA NA NA NA
"td" "p" 642 NA 2 19 49 1
"td" "td" 183 NA NA NA 7 13
"tu" "kd" 131 NA 4 2 NA NA
"tu" "p" 434 NA 1 1 NA 1
"tu" "td" 123 NA NA NA NA 13
"tu" "tu" 3434 NA NA 11 4 3
"kd" "kd" 31 6 10 2 NA NA
"ku" "kd" 239 1 14 8 NA NA
"ku" "ku" 1277 3 14 10 NA 4
"p" "kd" 496 6 15 16 NA NA
"p" "ku" 1671 5 3 18 1 1
"p" "p" 5370 6 12 103 2 1
"td" "kd" 64 NA 3 3 NA NA
"td" "ku" 37 NA NA 2 1 NA
"td" "p" 619 NA 1 8 38 NA
"td" "td" 202 NA NA NA 8 NA
"tu" "kd" 114 NA 2 NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 479 NA NA 3 1 NA
"tu" "td" 122 NA NA 1 NA 9
"tu" "tu" 3133 1 NA 7 2 3
"kd" "kd" 34 3 20 NA NA NA
"ku" "kd" 200 5 16 3 NA NA
"ku" "ku" 1226 12 11 13 2 2
"p" "kd" 500 8 27 14 NA NA
"p" "ku" 1600 5 8 13 1 2
"p" "p" 5275 4 20 127 2 3
"td" "kd" 77 NA 22 NA 2 NA
"td" "ku" 44 NA 2 NA 1 NA
"td" "p" 696 NA 13 5 14 2
"td" "td" 186 NA NA NA 27 3
"tu" "kd" 108 NA 2 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 526 NA NA 3 NA NA
"tu" "td" 112 NA NA NA 1 9
"tu" "tu" 3194 NA NA 6 3 3
"kd" "kd" 17 25 23 24 NA NA
"ku" "kd" 195 4 20 7 NA NA
"ku" "ku" 1276 11 5 10 1 1
"p" "kd" 407 7 19 22 NA NA
"p" "ku" 1527 9 5 12 2 1
"p" "p" 4997 4 10 130 1 4
"td" "kd" 55 NA 1 5 4 NA
"td" "ku" 37 NA NA 1 NA NA
"td" "p" 595 NA NA 3 24 1
"td" "td" 217 NA NA 10 NA NA
"tu" "kd" 109 NA 2 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 456 NA 1 3 NA 1
"tu" "td" 98 NA NA NA NA 7
"tu" "tu" 3096 NA NA 8 1 4
"kd" "kd" 37 16 NA NA NA NA
"ku" "kd" 206 2 18 2 NA NA
"ku" "ku" 1239 16 7 5 1 NA
"p" "kd" 437 2 19 9 NA NA
"p" "ku" 1552 7 6 16 NA 3
"p" "p" 5223 3 15 102 1 6
"td" "kd" 57 NA NA NA 2 NA
"td" "ku" 36 NA NA NA 3 NA
"td" "p" 688 NA NA 4 36 1
"td" "td" 110 NA NA NA 32 18
"tu" "kd" 114 NA 6 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 441 NA NA 1 1 NA
"tu" "td" 125 NA NA 1 NA 8
"tu" "tu" 2948 NA NA 10 6 5
"kd" "kd" 39 9 8 11 NA NA
"ku" "kd" 200 7 17 9 NA NA
"ku" "ku" 1303 13 12 7 NA NA
"p" "kd" 490 3 42 25 NA NA
"p" "ku" 1608 8 9 17 1 NA
"p" "p" 5300 10 26 93 3 1
"td" "kd" 70 NA 23 1 NA NA
"td" "ku" 28 NA 2 NA NA NA
"td" "p" 689 NA 8 5 38 NA
"td" "td" 228 NA NA NA NA 46
"tu" "kd" 89 NA 7 5 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 489 NA NA 5 NA 1
"tu" "td" 119 NA NA NA NA 5
"tu" "tu" 3312 NA 3 12 1 1
"kd" "kd" 40 6 14 2 NA NA
"ku" "kd" 262 14 32 8 NA NA
"ku" "ku" 1360 11 18 13 2 1
"p" "kd" 489 6 50 29 1 NA
"p" "ku" 1742 12 5 23 1 NA
"p" "p" 5502 5 36 127 3 2
"td" "kd" 63 NA 6 NA 2 NA
"td" "ku" 37 NA NA NA 1 1
"td" "p" 653 NA NA 14 26 1
"td" "td" 198 NA NA NA NA 48
"tu" "kd" 100 NA 2 3 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 528 NA NA 7 1 NA
"tu" "td" 164 NA NA 2 NA 10
"tu" "tu" 3166 1 NA 9 4 2
"kd" "kd" 57 4 NA NA NA NA
"ku" "kd" 250 1 10 1 NA NA
"ku" "ku" 1172 18 4 8 2 4
"p" "kd" 509 NA 17 30 NA NA
"p" "ku" 1432 1 1 17 3 1
"p" "p" 5521 1 17 123 6 4
"td" "kd" 46 NA 4 NA NA NA
"td" "ku" 39 NA NA 1 5 NA
"td" "p" 709 NA 2 18 50 NA
"td" "td" 173 NA NA 6 6 19
"tu" "kd" 79 NA 3 2 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 421 NA 3 3 1 NA
"tu" "td" 102 NA NA 1 NA 7
"tu" "tu" 3207 NA NA 6 7 5
"kd" "kd" 30 1 13 NA NA NA
"ku" "kd" 91 NA 15 5 1 NA
"ku" "ku" 1142 9 10 12 3 2
"p" "kd" 425 5 20 20 1 NA
"p" "ku" 1522 4 2 21 3 NA
"p" "p" 5365 3 9 131 3 2
