"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 38 11 37 10 100 3.39
"2" "kukd" 316 0 0 1 NA 108 17 110 16 100 2.93
"3" "kuku" 1097 0 0 1 NA 312 27 313 28 100 3.52
"4" "pkd" 612 0 0 1 NA 79 14 81 13 100 7.75
"5" "pku" 1177 0 0 1 NA 262 32 263 27 100 4.49
"6" "pp" 13890 0 0 1 NA 477 28 479 24 100 29.12
"7" "tdkd" 28 0.03 NA 0.99 NA 11 7 9 6 100 2.55
"8" "tdku" 50 0 0 1 NA 8 5 7 4 100 6.25
"9" "tdp" 592 0 0 1 NA 65 12 65 12 100 9.11
"10" "tdtd" 41 0 0 1 NA 17 6 16 6 100 2.41
"11" "tukd" 17 0 0 1 NA 8 3 8 4 100 2.12
"12" "tuku" 0 1 NA 0.95 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 26 7 27 6 100 6.65
"14" "tutd" 21 0.09 NA 0.92 NA 15 5 15 4 100 1.4
"15" "tutu" 353 0 0 1 NA 71 12 69 12 100 4.97
