"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.0600000000000001 NA 0.96 NA 25 5 24 4 50 1.32
"2" "kukd" 305 0 0 1 NA 198 28 204 20 50 1.54
"3" "kuku" 1719 0 0 1 NA 1137 55 1139 46 50 1.51
"4" "pkd" 538 0 0 1 NA 409 21 406 19 50 1.32
"5" "pku" 2067 0 0 1 NA 1551 77 1555 76 50 1.33
"6" "pp" 6202 0 0 1 NA 4760 89 4767 96 50 1.3
"7" "tdkd" 35 0.5 NA 0.6 NA 33 7 34 7 50 1.06
"8" "tdku" 52 0.08 NA 0.92 NA 39 10 39 9 50 1.33
"9" "tdp" 545 0.16 NA 0.86 NA 522 21 519 24 50 1.04
"10" "tdtd" 44 0.64 NA 0.46 NA 45 5 45 4 50 0.98
"11" "tukd" 102 0.74 NA 0.3 NA 106 12 106 10 50 0.96
"12" "tuku" 1 0.6 NA 0.72 NA 1 2 1 1 50 1
"13" "tup" 541 0.02 NA 0.98 NA 485 33 486 28 50 1.12
"14" "tutd" 114 0.78 NA 0.22 NA 126 15 126 13 50 0.9
"15" "tutu" 4146 0 0 1 NA 3039 98 3040 102 50 1.36
