"group" "motif_type" "counts" "total_count"
"1" "others" 2 69
"1" "others" 3 15
"1" "others" 4 9
"1" "others" 5 7
"1" "others" 6 5
"1" "others" 7 1
"1" "others" 8 2
"1" "others" 9 2
"1" "others" 11 2
"1" "others" 12 1
"1" "others" 13 1
"1" "others" 15 1
"1" "others" 17 1
"1" "others" 20 1
"1" "others" 23 1
"1" "others" 25 1
"1" "others" 27 1
"1" "protein_complexes" 2 410
"1" "protein_complexes" 3 71
"1" "protein_complexes" 4 19
"1" "protein_complexes" 5 4
"1" "protein_complexes" 6 5
"1" "protein_complexes" 7 3
"1" "protein_complexes" 8 1
"1" "protein_complexes" 13 1
"1" "regulatory_triplets" 2 205
"1" "regulatory_triplets" 3 27
"1" "regulatory_triplets" 4 6
"1" "regulatory_triplets" 5 5
"1" "regulatory_triplets" 6 3
"1" "regulatory_triplets" 7 2
"1" "regulatory_triplets" 8 2
"1" "signaling_triplets" 2 242
"1" "signaling_triplets" 3 55
"1" "signaling_triplets" 4 11
"1" "signaling_triplets" 5 3
"1" "signaling_triplets" 6 6
"1" "signaling_triplets" 7 2
"1" "signaling_triplets" 8 1
"1" "signaling_triplets" 12 1
"2" "others" 2 50
"2" "others" 3 22
"2" "others" 4 7
"2" "others" 5 6
"2" "others" 6 1
"2" "others" 7 2
"2" "others" 8 3
"2" "others" 9 2
"2" "others" 12 2
"2" "others" 14 2
"2" "others" 19 1
"2" "others" 20 1
"2" "protein_complexes" 2 376
"2" "protein_complexes" 3 63
"2" "protein_complexes" 4 20
"2" "protein_complexes" 5 5
"2" "protein_complexes" 6 4
"2" "protein_complexes" 7 1
"2" "regulatory_triplets" 2 176
"2" "regulatory_triplets" 3 32
"2" "regulatory_triplets" 4 7
"2" "regulatory_triplets" 5 3
"2" "regulatory_triplets" 9 1
"2" "regulatory_triplets" 25 1
"2" "signaling_triplets" 2 228
"2" "signaling_triplets" 3 46
"2" "signaling_triplets" 4 9
"2" "signaling_triplets" 5 4
"2" "signaling_triplets" 6 3
"2" "signaling_triplets" 7 3
"3" "others" 2 47
"3" "others" 3 9
"3" "others" 4 9
"3" "others" 5 7
"3" "others" 6 1
"3" "others" 7 3
"3" "others" 8 4
"3" "others" 12 1
"3" "others" 14 1
"3" "others" 19 2
"3" "others" 20 2
"3" "others" 26 1
"3" "protein_complexes" 2 422
"3" "protein_complexes" 3 69
"3" "protein_complexes" 4 21
"3" "protein_complexes" 5 6
"3" "protein_complexes" 6 6
"3" "protein_complexes" 7 3
"3" "protein_complexes" 8 2
"3" "regulatory_triplets" 2 197
"3" "regulatory_triplets" 3 18
