"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.41 NA 0.71 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 74 13 74 12 100 2.09
"3" "kuku" 932 0 0 1 NA 452 30 451 28 100 2.06
"4" "pkd" 109 0.58 NA 0.46 NA 110 14 112 11 100 0.99
"5" "pku" 1195 0 0 1 NA 498 60 502 47 100 2.4
"6" "pp" 1478 0 0 1 NA 930 41 930 33 100 1.59
"7" "tdkd" 20 0.01 NA 1 NA 10 4 10 3 100 2
"8" "tdku" 30 0 0 1 NA 12 4 12 4 100 2.5
"9" "tdp" 145 0 0 1 NA 111 11 111 12 100 1.31
"10" "tdtd" 11 0.41 NA 0.68 NA 10 3 10 3 100 1.1
"11" "tukd" 35 0.13 NA 0.9 NA 26 7 26 6 100 1.35
"12" "tuku" 1 0.4 NA 0.89 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 107 16 106 16 100 1.36
"14" "tutd" 12 0.99 NA 0.01 NA 27 8 25 6 100 0.44
"15" "tutu" 770 0.13 NA 0.88 NA 722 44 718 43 100 1.07
