"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 29 10 4 NA NA NA
"ku" "kd" 194 4 21 3 NA NA
"ku" "ku" 1149 6 16 14 3 2
"p" "kd" 443 1 7 14 NA NA
"p" "ku" 1449 10 5 15 2 1
"p" "p" 5386 3 13 117 2 2
"td" "kd" 41 1 NA NA 3 NA
"td" "ku" 45 NA NA NA 4 1
"td" "p" 641 NA NA 1 22 2
"td" "td" 160 NA NA NA 15 28
"tu" "kd" 116 1 3 1 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 540 NA NA 5 1 NA
"tu" "td" 116 NA NA NA 3 11
"tu" "tu" 3125 NA 1 14 3 1
"kd" "kd" 49 7 7 19 NA NA
"ku" "kd" 103 10 29 15 NA NA
"ku" "ku" 1236 7 14 16 NA 1
"p" "kd" 449 5 60 77 NA NA
"p" "ku" 1636 11 4 29 NA NA
"p" "p" 5411 8 38 205 2 1
"td" "kd" 40 NA 4 NA NA NA
"td" "ku" 21 NA NA 1 1 NA
"td" "p" 724 1 2 1 21 1
"td" "td" 181 NA NA NA 22 2
"tu" "kd" 115 NA 7 3 NA NA
"tu" "p" 489 NA NA 3 1 NA
"tu" "td" 128 NA NA NA NA 7
"tu" "tu" 3093 2 NA 16 4 2
"kd" "kd" 40 1 11 1 NA NA
"ku" "kd" 205 3 19 5 NA NA
"ku" "ku" 1169 9 5 6 1 4
"p" "kd" 474 3 11 2 2 NA
"p" "ku" 1422 9 1 14 1 NA
"p" "p" 5258 12 2 133 2 NA
"td" "kd" 62 NA 3 NA 9 NA
"td" "ku" 36 NA NA NA 3 1
"td" "p" 660 NA NA NA 25 1
"td" "td" 109 NA NA NA 3 22
"tu" "kd" 98 NA 2 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 474 1 NA 1 NA NA
"tu" "td" 131 NA NA 1 NA 13
"tu" "tu" 3031 NA NA 8 4 11
"kd" "kd" 26 24 12 14 NA NA
"ku" "kd" 227 8 26 9 1 NA
"ku" "ku" 1234 18 14 13 1 1
"p" "kd" 464 13 28 17 NA NA
"p" "ku" 1536 8 5 14 1 5
"p" "p" 5281 3 15 160 1 4
"td" "kd" 66 NA 5 NA 2 NA
"td" "ku" 53 NA 1 NA 3 NA
"td" "p" 690 NA NA 5 35 NA
"td" "td" 107 NA NA NA 4 10
"tu" "kd" 95 NA 1 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 450 NA 1 2 1 1
"tu" "td" 108 NA NA 1 NA 7
"tu" "tu" 3155 NA NA 8 NA 3
"kd" "kd" 28 9 4 NA NA NA
"ku" "kd" 189 3 18 3 NA NA
"ku" "ku" 1249 16 3 17 2 1
"p" "kd" 431 1 18 15 NA NA
"p" "ku" 1556 3 2 23 1 1
"p" "p" 5372 7 3 129 6 1
"td" "kd" 73 NA NA 2 3 NA
"td" "ku" 50 NA NA 1 4 NA
"td" "p" 643 NA NA 12 38 2
"td" "td" 163 NA NA 2 12 8
"tu" "kd" 100 NA NA 1 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 506 1 NA 3 NA NA
"tu" "td" 109 NA NA 2 NA 9
"tu" "tu" 3261 NA NA 11 4 2
"kd" "kd" 45 4 6 NA NA NA
"ku" "kd" 223 5 12 1 NA NA
"ku" "ku" 1289 7 10 5 NA 2
"p" "kd" 454 6 11 8 NA NA
"p" "ku" 1535 3 1 13 NA NA
"p" "p" 5346 3 6 105 NA 4
"td" "kd" 53 NA NA 1 NA NA
"td" "ku" 12 NA NA NA 1 NA
"td" "p" 670 NA 1 1 19 NA
"td" "td" 189 NA NA NA NA NA
"tu" "kd" 135 NA 1 NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 508 NA 2 4 NA NA
"tu" "td" 87 NA NA NA NA 5
"tu" "tu" 3026 2 NA 7 2 9
"kd" "kd" 37 18 28 NA NA NA
"ku" "kd" 239 14 31 2 NA NA
