"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 63 20 61 17 100 3.4
"2" "kukd" 438 0 0 1 NA 243 27 243 22 100 1.8
"3" "kuku" 2103 0 0 1 NA 1252 66 1256 68 100 1.68
"4" "pkd" 981 0 0 1 NA 523 32 528 37 100 1.88
"5" "pku" 2297 0 0 1 NA 1585 87 1574 80 100 1.45
"6" "pp" 18008 0 0 1 NA 5471 110 5452 95 100 3.29
"7" "tdkd" 88 0.15 NA 0.85 NA 65 20 62 15 100 1.35
"8" "tdku" 76 0 0 1 NA 40 9 40 10 100 1.9
"9" "tdp" 1205 0 0 1 NA 691 38 686 36 100 1.74
"10" "tdtd" 231 0.08 NA 0.93 NA 178 39 176 30 100 1.3
"11" "tukd" 111 0.44 NA 0.57 NA 110 14 109 13 100 1.01
"12" "tuku" 1 0.65 NA 0.72 NA 1 1 1 1 100 1
"13" "tup" 583 0 0 1 NA 493 33 488 35 100 1.18
"14" "tutd" 123 0.57 NA 0.44 NA 127 22 126 22 100 0.97
"15" "tutu" 4391 0 0 1 NA 3148 103 3145 97 100 1.39
