"group" "motif_type" "counts" "total_count"
"1" "others" 2 69
"1" "others" 3 25
"1" "others" 4 5
"1" "others" 5 7
"1" "others" 7 4
"1" "others" 8 2
"1" "others" 9 1
"1" "others" 11 1
"1" "others" 13 1
"1" "others" 18 1
"1" "protein_complexes" 2 434
"1" "protein_complexes" 3 68
"1" "protein_complexes" 4 15
"1" "protein_complexes" 5 9
"1" "protein_complexes" 6 4
"1" "protein_complexes" 7 1
"1" "protein_complexes" 8 1
"1" "protein_complexes" 10 1
"1" "protein_complexes" 11 1
"1" "protein_complexes" 15 1
"1" "regulatory_triplets" 2 189
"1" "regulatory_triplets" 3 31
"1" "regulatory_triplets" 4 5
"1" "regulatory_triplets" 5 5
"1" "regulatory_triplets" 6 1
"1" "regulatory_triplets" 7 1
"1" "regulatory_triplets" 8 2
"1" "regulatory_triplets" 21 1
"1" "signaling_triplets" 2 271
"1" "signaling_triplets" 3 50
"1" "signaling_triplets" 4 12
"1" "signaling_triplets" 5 9
"1" "signaling_triplets" 6 3
"2" "others" 2 63
"2" "others" 3 16
"2" "others" 4 16
"2" "others" 5 10
"2" "others" 6 6
"2" "others" 7 1
"2" "others" 8 3
"2" "others" 9 1
"2" "others" 12 1
"2" "others" 15 1
"2" "others" 17 1
"2" "others" 19 2
"2" "others" 20 1
"2" "others" 37 1
"2" "protein_complexes" 2 393
"2" "protein_complexes" 3 76
"2" "protein_complexes" 4 30
"2" "protein_complexes" 5 8
"2" "protein_complexes" 6 1
"2" "protein_complexes" 7 1
"2" "protein_complexes" 8 1
"2" "protein_complexes" 9 1
"2" "protein_complexes" 13 1
"2" "regulatory_triplets" 2 222
"2" "regulatory_triplets" 3 24
"2" "regulatory_triplets" 4 6
"2" "regulatory_triplets" 5 6
"2" "regulatory_triplets" 6 1
"2" "regulatory_triplets" 16 1
"2" "signaling_triplets" 2 231
"2" "signaling_triplets" 3 45
"2" "signaling_triplets" 4 21
"2" "signaling_triplets" 5 6
"2" "signaling_triplets" 6 1
"2" "signaling_triplets" 7 1
"2" "signaling_triplets" 8 1
"2" "signaling_triplets" 21 1
"3" "others" 2 69
"3" "others" 3 24
"3" "others" 4 9
"3" "others" 5 6
