"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 46 13 9 11 NA NA
"ku" "kd" 205 7 13 19 1 NA
"ku" "ku" 1197 19 18 14 1 3
"p" "kd" 534 2 19 19 NA NA
"p" "ku" 1568 5 6 15 2 2
"p" "p" 5175 1 14 127 3 1
"td" "kd" 47 NA 17 13 5 NA
"td" "ku" 18 NA 1 1 1 1
"td" "p" 722 NA 6 13 65 1
"td" "td" 101 NA NA NA NA 14
"tu" "kd" 112 NA 4 2 1 NA
"tu" "p" 535 NA 3 1 NA 2
"tu" "td" 103 NA NA NA NA 7
"tu" "tu" 3092 NA 2 13 2 5
"kd" "kd" 41 9 9 NA NA NA
"ku" "kd" 248 6 21 6 1 NA
"ku" "ku" 1117 9 13 9 NA 1
"p" "kd" 460 3 32 12 NA NA
"p" "ku" 1481 7 5 15 NA 3
"p" "p" 5255 10 21 105 3 NA
"td" "kd" 47 NA 3 8 NA NA
"td" "ku" 35 NA NA NA 3 NA
"td" "p" 577 NA 1 22 27 NA
"td" "td" 168 NA NA 11 NA NA
"tu" "kd" 144 1 7 2 NA NA
"tu" "p" 483 NA 1 7 NA NA
"tu" "td" 55 NA NA NA NA 3
"tu" "tu" 3197 NA NA 13 1 1
"kd" "kd" 27 12 42 37 NA NA
"ku" "kd" 180 6 39 16 1 NA
"ku" "ku" 1182 13 17 22 1 2
"p" "kd" 434 8 24 34 1 NA
"p" "ku" 1541 5 2 20 1 3
"p" "p" 5239 2 13 135 NA 2
"td" "kd" 76 NA 1 NA 2 NA
"td" "ku" 24 NA NA NA NA NA
"td" "p" 637 NA 1 5 26 1
"td" "td" 138 NA NA NA NA 8
"tu" "kd" 124 NA 6 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 492 NA 1 NA 1 NA
"tu" "td" 109 NA NA NA NA 5
"tu" "tu" 3179 NA NA 8 1 3
"kd" "kd" 40 2 8 NA NA NA
"ku" "kd" 196 2 30 3 NA NA
"ku" "ku" 1274 22 9 5 NA 2
"p" "kd" 522 3 29 29 NA NA
"p" "ku" 1640 1 7 20 1 1
"p" "p" 5394 10 13 166 2 3
"td" "kd" 47 NA 1 3 NA NA
"td" "ku" 33 NA NA 1 2 NA
"td" "p" 695 NA NA 10 42 NA
"td" "td" 172 NA NA NA NA 44
"tu" "kd" 101 NA 1 1 NA NA
"tu" "p" 475 2 NA 3 1 NA
"tu" "td" 120 1 NA 1 NA 11
"tu" "tu" 3426 1 1 11 6 6
"kd" "kd" 40 12 20 NA NA NA
"ku" "kd" 236 5 26 3 NA NA
"ku" "ku" 1178 14 17 7 1 2
"p" "kd" 505 3 24 13 NA NA
"p" "ku" 1662 3 4 15 1 1
"p" "p" 5500 4 10 136 NA 3
"td" "kd" 51 NA NA NA NA NA
"td" "ku" 28 NA NA NA 1 NA
"td" "p" 780 NA NA 5 26 NA
"td" "td" 138 NA NA NA NA 1
"tu" "kd" 111 NA 1 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 464 NA NA 3 1 2
"tu" "td" 92 NA NA NA NA 2
"tu" "tu" 3251 NA NA 8 2 6
"kd" "kd" 29 48 47 NA NA NA
"ku" "kd" 206 5 32 5 1 NA
"ku" "ku" 1212 13 13 12 NA 1
"p" "kd" 431 19 39 18 NA NA
"p" "ku" 1501 12 3 12 1 1
"p" "p" 5289 5 17 103 4 1
"td" "kd" 38 NA 7 1 3 NA
"td" "ku" 37 NA 1 NA 2 NA
"td" "p" 632 NA 1 8 56 NA
"td" "td" 162 NA NA 8 NA 21
"tu" "kd" 116 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 495 NA 1 2 1 NA
"tu" "td" 139 NA NA NA NA 17
"tu" "tu" 3047 NA NA 5 3 6
"kd" "kd" 52 1 1 NA NA NA
"ku" "kd" 226 1 32 11 NA NA
"ku" "ku" 1287 15 19 12 NA 2
"p" "kd" 475 NA 23 19 1 NA
"p" "ku" 1598 5 9 15 1 1
"p" "p" 5251 5 15 115 NA NA
"td" "kd" 48 NA 26 NA 1 NA
"td" "ku" 38 NA 1 NA 4 NA
"td" "p" 635 NA 15 3 19 NA
"td" "td" 213 NA NA NA NA 12
"tu" "kd" 108 NA 7 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 540 NA 2 6 1 NA
"tu" "td" 84 NA NA NA NA 10
"tu" "tu" 3166 NA 1 7 2 2
"kd" "kd" 31 4 6 3 NA NA
"ku" "kd" 201 4 16 8 NA NA
"ku" "ku" 1231 12 6 19 NA 1
"p" "kd" 482 3 17 21 NA NA
"p" "ku" 1530 3 8 26 NA 1
"p" "p" 5364 3 5 106 3 2
"td" "kd" 58 NA 6 NA 12 NA
"td" "ku" 47 NA NA NA 1 NA
"td" "p" 655 NA NA 4 34 NA
"td" "td" 199 NA NA NA 4 23
"tu" "kd" 96 2 3 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 524 NA NA 2 NA NA
"tu" "td" 92 NA NA NA NA 7
"tu" "tu" 3195 NA NA 7 NA 1
"kd" "kd" 35 7 34 30 NA NA
"ku" "kd" 198 3 26 11 NA NA
"ku" "ku" 1279 13 12 12 1 NA
"p" "kd" 492 8 16 19 NA NA
"p" "ku" 1605 10 4 21 1 NA
"p" "p" 5472 1 6 129 4 3
"td" "kd" 57 NA 4 NA NA NA
"td" "ku" 35 NA NA NA 1 NA
"td" "p" 632 NA NA 5 23 NA
"td" "td" 193 NA NA NA 4 14
"tu" "kd" 84 1 2 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 502 NA NA 5 NA NA
"tu" "td" 150 1 NA NA 1 11
"tu" "tu" 3072 NA NA 7 NA 1
"kd" "kd" 55 13 10 NA NA NA
"ku" "kd" 196 4 25 8 NA NA
"ku" "ku" 1206 12 18 12 NA 2
"p" "kd" 479 3 20 17 NA NA
"p" "ku" 1507 9 5 6 NA 1
"p" "p" 5346 2 10 123 1 3
"td" "kd" 68 NA 4 NA NA NA
"td" "ku" 24 NA 1 NA NA NA
"td" "p" 639 NA 1 5 20 NA
"td" "td" 183 NA NA NA 6 NA
"tu" "kd" 125 NA 3 2 NA NA
"tu" "p" 509 NA NA 3 1 1
"tu" "td" 133 1 NA NA NA 9
"tu" "tu" 3145 1 1 11 1 3
"kd" "kd" 22 9 33 NA NA NA
"ku" "kd" 195 8 13 3 NA NA
"ku" "ku" 1300 13 9 18 NA 2
"p" "kd" 467 10 18 18 1 NA
"p" "ku" 1555 5 3 20 1 1
"p" "p" 5329 8 8 108 3 6
"td" "kd" 52 NA 4 NA 2 NA
"td" "ku" 30 NA NA NA NA NA
"td" "p" 655 NA 8 1 35 NA
"td" "td" 145 NA NA 1 NA 12
"tu" "kd" 95 NA 1 2 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 504 NA 1 4 NA NA
"tu" "td" 128 NA NA NA NA 12
"tu" "tu" 3148 NA NA 8 1 3
"kd" "kd" 65 8 21 NA NA NA
"ku" "kd" 232 3 14 3 NA NA
"ku" "ku" 1267 5 5 4 1 2
"p" "kd" 462 7 14 26 NA NA
"p" "ku" 1479 4 2 15 NA 2
"p" "p" 5336 1 9 103 2 2
"td" "kd" 46 NA NA NA NA NA
"td" "ku" 41 NA NA NA 2 NA
"td" "p" 608 NA NA 2 22 1
"td" "td" 169 NA NA 3 25 10
"tu" "kd" 129 NA 1 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 451 NA NA 1 NA NA
"tu" "td" 115 NA NA NA NA 6
"tu" "tu" 3026 1 NA 6 3 3
"kd" "kd" 23 NA NA NA NA NA
"ku" "kd" 217 NA 12 5 NA NA
"ku" "ku" 1220 13 2 8 1 1
"p" "kd" 477 NA 16 10 NA NA
"p" "ku" 1428 3 7 14 4 1
"p" "p" 5387 2 7 148 NA 1
"td" "kd" 50 NA 5 NA 13 NA
"td" "ku" 51 NA NA 1 NA NA
"td" "p" 666 NA 1 4 29 1
"td" "td" 150 NA NA NA 8 2
"tu" "kd" 124 NA 5 3 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 519 NA 4 4 1 1
"tu" "td" 158 NA NA 1 NA 10
"tu" "tu" 3176 1 1 7 4 2
"kd" "kd" 33 17 63 15 NA NA
"ku" "kd" 197 3 23 11 NA NA
"ku" "ku" 1366 17 11 16 1 2
"p" "kd" 460 27 42 41 NA NA
"p" "ku" 1501 1 8 23 3 NA
"p" "p" 5183 18 17 139 3 3
"td" "kd" 74 NA 16 1 3 NA
"td" "ku" 45 NA NA NA 5 NA
"td" "p" 624 NA 3 2 18 NA
"td" "td" 173 NA NA NA NA NA
"tu" "kd" 74 NA 3 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 463 NA 1 2 NA 1
"tu" "td" 101 NA NA NA NA 7
"tu" "tu" 3141 NA 3 15 1 4
"kd" "kd" 58 9 16 1 NA NA
"ku" "kd" 219 6 24 4 NA NA
"ku" "ku" 1276 10 13 12 2 2
"p" "kd" 445 5 18 5 NA NA
"p" "ku" 1487 6 2 13 2 1
"p" "p" 5430 6 13 113 1 2
"td" "kd" 79 NA 1 NA 1 NA
"td" "ku" 37 NA NA NA 2 NA
"td" "p" 694 NA NA 3 16 NA
"td" "td" 204 NA NA NA NA NA
"tu" "kd" 110 1 5 NA NA NA
"tu" "p" 490 1 1 7 NA NA
"tu" "td" 111 NA NA NA NA 2
"tu" "tu" 3242 NA 2 10 2 4
"kd" "kd" 45 7 9 NA NA NA
"ku" "kd" 237 5 12 1 NA NA
"ku" "ku" 1184 10 14 7 4 1
"p" "kd" 473 3 10 11 NA NA
"p" "ku" 1483 2 6 5 1 1
"p" "p" 5223 3 10 147 3 2
"td" "kd" 72 NA 25 NA NA NA
"td" "ku" 37 NA NA 1 3 NA
"td" "p" 581 NA 19 1 32 NA
"td" "td" 216 NA NA NA 13 11
"tu" "kd" 120 NA 8 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 512 NA 1 1 NA NA
"tu" "td" 107 NA NA NA NA 4
"tu" "tu" 3282 NA 3 10 1 3
"kd" "kd" 42 10 15 8 NA NA
"ku" "kd" 236 6 33 10 NA NA
"ku" "ku" 1234 18 17 15 5 2
"p" "kd" 452 3 39 59 NA NA
"p" "ku" 1610 18 8 33 2 1
"p" "p" 5260 6 16 139 3 2
"td" "kd" 73 NA 5 NA NA NA
"td" "ku" 37 NA NA 1 3 NA
"td" "p" 678 NA NA 9 34 NA
"td" "td" 263 NA NA NA 14 20
"tu" "kd" 125 NA 1 4 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 460 NA 1 5 1 1
"tu" "td" 109 NA NA 1 NA 3
"tu" "tu" 3198 1 NA 6 5 2
"kd" "kd" 39 25 10 NA NA NA
"ku" "kd" 205 9 25 2 NA NA
"ku" "ku" 1164 9 13 11 1 5
"p" "kd" 433 7 22 38 NA NA
"p" "ku" 1454 5 5 21 NA 1
"p" "p" 5359 3 7 133 NA 3
"td" "kd" 59 NA 6 NA 3 NA
"td" "ku" 35 NA NA NA 1 NA
"td" "p" 689 NA 2 1 31 NA
"td" "td" 181 NA NA NA NA 2
"tu" "kd" 111 1 NA NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 527 NA 1 1 NA 1
"tu" "td" 145 1 NA NA NA 7
"tu" "tu" 3229 NA NA 9 3 4
"kd" "kd" 65 19 10 NA NA NA
"ku" "kd" 204 8 20 4 NA NA
"ku" "ku" 1255 12 9 15 NA NA
"p" "kd" 486 NA 16 22 NA NA
"p" "ku" 1599 1 1 14 NA NA
"p" "p" 5439 3 13 122 1 7
"td" "kd" 69 NA 3 1 1 NA
"td" "ku" 32 NA NA NA NA NA
"td" "p" 668 NA 2 9 28 NA
"td" "td" 146 NA NA NA 14 12
"tu" "kd" 101 NA NA 2 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 519 NA 1 6 NA NA
"tu" "td" 128 NA NA NA NA 10
"tu" "tu" 3385 1 NA 3 2 4
"kd" "kd" 32 6 11 2 NA NA
