"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 136 0 0 1 NA 24 15 21 13 100 5.67
"2" "kukd" 191 0 0 1 NA 73 13 74 13 100 2.62
"3" "kuku" 789 0 0 1 NA 326 24 326 20 100 2.42
"4" "pkd" 416 0 0 1 NA 157 17 157 15 100 2.65
"5" "pku" 870 0 0 1 NA 393 46 396 30 100 2.21
"6" "pp" 10342 0 0 1 NA 1448 48 1444 45 100 7.14
"7" "tdkd" 33 0.1 NA 0.94 NA 16 10 15 9 100 2.06
"8" "tdku" 25 0 0 1 NA 8 3 8 4 100 3.12
"9" "tdp" 578 0 0 1 NA 155 16 156 15 100 3.73
"10" "tdtd" 124 0 0 1 NA 35 21 30 20 100 3.54
"11" "tukd" 32 0.36 NA 0.74 NA 29 7 28 7 100 1.1
"12" "tuku" 0 1 NA 0.78 NA 0 1 0 0 100 NA
"13" "tup" 70 0.98 NA 0.02 NA 105 15 106 13 100 0.67
"14" "tutd" 29 0.12 NA 0.9 NA 23 6 23 6 100 1.26
"15" "tutu" 1135 0 0 1 NA 601 39 597 38 100 1.89
