"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 12 4 100 3.08
"2" "kukd" 21 0.01 NA 0.99 NA 14 4 15 3 100 1.5
"3" "kuku" 12 0.11 NA 1 NA 10 1 10 1 100 1.2
"4" "pkd" 128 0 0 1 NA 78 11 80 8 100 1.64
"5" "pku" 12 0.63 NA 0.37 NA 16 5 18 4 100 0.75
"6" "pp" 193 0 0 1 NA 122 6 122 7 100 1.58
"7" "tdkd" 28 0.19 NA 0.85 NA 21 7 22 7 100 1.33
"8" "tdku" 10 0.14 NA 0.96 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.03 NA 0.97 NA 82 13 84 7 100 1.22
"10" "tdtd" 34 0.3 NA 0.77 NA 30 8 29 7 100 1.13
"11" "tukd" 8 0.7 NA 0.39 NA 9 3 9 3 100 0.89
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.05 NA 0.99 NA 14 4 15 3 100 1.36
"14" "tutd" 4 1 NA 0.02 NA 9 3 10 2 100 0.44
"15" "tutu" 11 0.34 NA 0.95 NA 10 1 10 1 100 1.1
