"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.43 NA 0.69 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 75 15 76 10 100 2.07
"3" "kuku" 932 0 0 1 NA 449 34 448 33 100 2.08
"4" "pkd" 109 0.62 NA 0.41 NA 111 16 114 13 100 0.98
"5" "pku" 1195 0 0 1 NA 506 41 501 39 100 2.36
"6" "pp" 1478 0 0 1 NA 932 41 925 45 100 1.59
"7" "tdkd" 20 0 0 1 NA 9 3 9 3 100 2.22
"8" "tdku" 30 0.01 NA 0.99 NA 11 5 10 4 100 2.73
"9" "tdp" 145 0.01 NA 0.99 NA 111 13 110 11 100 1.31
"10" "tdtd" 11 0.49 NA 0.66 NA 10 3 10 3 100 1.1
"11" "tukd" 35 0.22 NA 0.86 NA 27 8 27 7 100 1.3
"12" "tuku" 1 0.33 NA 0.9 NA 1 1 0 0 100 1
"13" "tup" 146 0.03 NA 0.97 NA 108 21 110 19 100 1.35
"14" "tutd" 12 0.95 NA 0.05 NA 27 7 27 7 100 0.44
"15" "tutu" 770 0.09 NA 0.93 NA 716 44 719 44 100 1.08
