"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 34 10 6 4 NA NA
"ku" "kd" 208 1 31 11 NA NA
"ku" "ku" 1164 11 10 10 2 NA
"p" "kd" 465 2 32 25 NA NA
"p" "ku" 1510 14 3 23 NA 4
"p" "p" 5260 6 20 112 1 1
"td" "kd" 69 NA 24 10 NA NA
"td" "ku" 38 NA 1 2 1 NA
"td" "p" 661 NA 19 11 38 NA
"td" "td" 203 NA NA NA NA 15
"tu" "kd" 106 NA 5 3 NA NA
"tu" "p" 534 NA 5 6 2 NA
"tu" "td" 139 NA NA NA NA 11
"tu" "tu" 3158 NA 1 13 2 NA
"kd" "kd" 60 15 11 NA NA NA
"ku" "kd" 244 5 32 2 2 NA
"ku" "ku" 1195 13 20 12 2 3
"p" "kd" 521 12 38 20 NA NA
"p" "ku" 1499 6 10 20 NA 3
"p" "p" 5517 5 25 111 NA 3
"td" "kd" 37 NA 6 1 3 NA
"td" "ku" 37 NA NA NA 1 NA
"td" "p" 661 NA NA NA 34 2
"td" "td" 148 NA NA NA 20 14
"tu" "kd" 102 1 5 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 485 1 1 3 1 1
"tu" "td" 138 NA NA 1 NA 11
"tu" "tu" 3226 NA 1 9 4 1
"kd" "kd" 22 NA 9 4 NA NA
"ku" "kd" 191 1 27 13 NA NA
"ku" "ku" 1212 15 17 15 2 2
"p" "kd" 454 2 42 31 NA NA
"p" "ku" 1580 7 10 11 NA 1
"p" "p" 5405 5 33 119 3 1
"td" "kd" 64 NA 6 4 1 NA
"td" "ku" 30 NA 1 NA NA NA
"td" "p" 702 NA 2 3 20 NA
"td" "td" 158 NA NA NA 5 15
"tu" "kd" 99 NA 3 5 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 476 NA 2 5 NA NA
"tu" "td" 115 NA NA 2 NA 6
"tu" "tu" 3054 NA NA 7 3 7
"kd" "kd" 28 11 5 5 NA NA
"ku" "kd" 181 5 20 4 NA NA
"ku" "ku" 1318 12 10 15 4 3
"p" "kd" 469 1 33 5 NA NA
"p" "ku" 1593 3 3 11 NA 7
"p" "p" 5365 6 15 85 2 4
"td" "kd" 83 NA 9 NA NA NA
"td" "ku" 50 NA 2 NA 4 NA
"td" "p" 645 NA 4 3 56 1
"td" "td" 109 NA NA 1 26 12
"tu" "kd" 119 NA 3 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 496 NA NA 1 2 NA
"tu" "td" 117 NA NA NA 1 3
"tu" "tu" 3063 NA 1 9 1 4
"kd" "kd" 43 13 10 NA NA NA
"ku" "kd" 103 1 28 1 NA NA
"ku" "ku" 1264 10 18 9 3 2
"p" "kd" 498 2 23 15 NA NA
"p" "ku" 1506 NA 7 3 NA 3
"p" "p" 5218 6 10 111 1 2
"td" "kd" 62 NA NA 1 2 NA
"td" "ku" 36 NA NA NA 1 NA
"td" "p" 629 NA NA 2 23 NA
"td" "td" 172 NA NA NA NA 2
"tu" "kd" 118 NA 2 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 474 NA NA 2 NA 1
"tu" "td" 126 NA NA NA NA 12
"tu" "tu" 2957 NA 2 11 6 2
"kd" "kd" 29 1 15 NA NA NA
"ku" "kd" 207 7 22 3 NA NA
"ku" "ku" 1219 5 24 14 1 1
"p" "kd" 475 4 14 37 NA NA
"p" "ku" 1529 16 5 23 3 3
"p" "p" 5241 1 12 142 2 7
"td" "kd" 44 NA 13 12 1 NA
"td" "ku" 39 NA 2 2 5 NA
"td" "p" 643 NA 8 10 22 NA
"td" "td" 149 NA NA NA NA 56
"tu" "kd" 95 NA 11 6 NA NA
"tu" "p" 489 NA 1 4 NA NA
"tu" "td" 126 NA NA NA NA 11
"tu" "tu" 3139 1 2 9 4 3
"kd" "kd" 43 34 32 3 NA NA
"ku" "kd" 207 15 36 7 NA NA
"ku" "ku" 1272 18 13 9 2 2
"p" "kd" 484 11 29 9 NA NA
"p" "ku" 1726 9 5 17 NA 1
"p" "p" 5333 10 23 115 3 1
"td" "kd" 62 NA 3 NA NA NA
"td" "ku" 44 NA NA 1 2 NA
"td" "p" 651 NA NA 2 27 NA
"td" "td" 114 NA NA NA NA 1
"tu" "kd" 99 NA 4 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 483 NA 1 5 NA 1
"tu" "td" 137 NA NA 2 NA 5
"tu" "tu" 3148 1 NA 14 3 2
"kd" "kd" 45 NA 6 NA NA NA
"ku" "kd" 203 3 12 3 1 NA
"ku" "ku" 1086 15 6 15 3 3
"p" "kd" 507 2 11 7 1 NA
"p" "ku" 1466 7 11 18 1 2
"p" "p" 5366 3 4 114 4 1
"td" "kd" 33 NA 2 2 4 NA
"td" "ku" 35 NA NA NA 1 1
"td" "p" 629 NA 1 9 23 1
"td" "td" 162 NA NA NA 13 32
"tu" "kd" 96 NA NA 4 NA NA
"tu" "p" 502 NA NA 5 NA 1
"tu" "td" 112 1 NA NA NA 7
"tu" "tu" 3242 NA 2 3 2 3
"kd" "kd" 36 1 6 5 NA NA
"ku" "kd" 199 NA 13 2 1 NA
"ku" "ku" 1273 7 9 12 2 1
"p" "kd" 497 NA 15 18 1 NA
"p" "ku" 1501 5 NA 26 1 NA
"p" "p" 5225 6 12 141 7 NA
"td" "kd" 36 NA NA NA 4 NA
"td" "ku" 31 NA NA NA NA NA
"td" "p" 664 NA 1 2 29 NA
"td" "td" 257 NA NA NA NA NA
"tu" "kd" 103 NA NA 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 482 1 1 9 1 1
"tu" "td" 137 NA NA NA NA 8
"tu" "tu" 3139 NA 1 5 2 3
"kd" "kd" 30 8 5 NA NA NA
"ku" "kd" 222 1 17 8 NA NA
"ku" "ku" 1220 8 11 16 4 2
"p" "kd" 481 3 21 23 NA NA
"p" "ku" 1435 6 5 24 NA 3
"p" "p" 5436 5 7 117 4 NA
"td" "kd" 93 NA 3 NA NA NA
"td" "ku" 39 NA 1 1 4 NA
"td" "p" 604 NA NA 6 43 NA
"td" "td" 87 NA NA 6 5 10
"tu" "kd" 101 NA 1 3 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 421 1 NA 3 NA NA
"tu" "td" 118 NA NA 1 NA 11
"tu" "tu" 3184 NA NA 9 2 3
"kd" "kd" 46 7 22 NA NA NA
"ku" "kd" 230 8 29 3 NA NA
"ku" "ku" 1225 11 21 15 NA NA
"p" "kd" 494 5 18 20 NA NA
"p" "ku" 1458 1 4 6 1 1
"p" "p" 5310 5 13 151 1 3
"td" "kd" 77 NA 1 NA NA NA
"td" "ku" 13 NA NA NA 1 NA
"td" "p" 742 NA NA 3 14 NA
"td" "td" 190 NA NA NA 1 3
"tu" "kd" 136 NA 3 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 427 NA NA 5 1 NA
"tu" "td" 118 NA NA NA NA 8
"tu" "tu" 2987 1 NA 10 NA 10
