"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0 0 1 NA 20 7 20 6 100 2.25
"2" "kukd" 100 0 0 1 NA 53 14 52 13 100 1.89
"3" "kuku" 113 0 0 1 NA 65 11 64 10 100 1.74
"4" "pkd" 94 0 0 1 NA 31 8 30 7 100 3.03
"5" "pku" 105 0 0 1 NA 58 12 57 12 100 1.81
"6" "pp" 3363 0 0 1 NA 130 15 128 14 100 25.87
"7" "tdkd" 1 0.39 NA 0.87 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.84 NA 0 0 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 5 15 5 100 2.53
"10" "tdtd" 17 0.12 NA 0.93 NA 11 4 10 4 100 1.55
"11" "tukd" 0 1 NA 0.67 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.96 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 6 3 100 6.5
"14" "tutd" 11 0.27 NA 0.82 NA 8 3 8 3 100 1.38
"15" "tutu" 40 0 0 1 NA 23 5 23 4 100 1.74
