"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tdku" "tukd" "tuku"
15 27 49 39 53 126 1 17 9 4 5 28 NA NA NA
16 56 57 33 62 122 1 12 5 7 9 20 NA NA NA
11 42 62 32 47 146 NA 28 12 6 9 27 NA NA NA
28 84 87 31 62 146 1 14 20 1 15 21 NA NA NA
13 49 71 21 63 126 NA 11 12 7 5 24 1 2 NA
23 82 99 43 72 146 1 18 8 4 7 27 NA NA NA
32 60 63 34 53 125 1 18 9 7 6 20 1 NA NA
20 61 71 27 57 119 NA 5 9 6 9 21 NA NA NA
19 58 69 28 81 143 3 12 15 6 13 20 NA NA NA
26 66 69 29 51 145 NA 14 10 5 10 16 NA NA NA
16 47 62 29 67 135 NA 12 12 5 11 27 NA NA NA
17 62 72 35 65 118 NA 19 18 9 4 21 NA NA NA
19 28 66 35 62 169 NA 15 9 8 5 22 1 1 NA
18 54 70 27 66 134 NA 8 5 10 5 20 1 NA NA
22 71 70 26 56 113 NA 13 8 9 8 26 NA NA 1
9 37 46 13 48 132 NA 21 11 8 11 19 NA NA NA
14 44 61 39 48 120 4 18 7 1 9 18 NA NA NA
25 54 56 36 71 116 1 9 6 6 9 15 NA 1 NA
14 47 54 21 43 120 NA 13 10 9 11 23 NA 1 NA
21 50 50 36 65 112 NA 20 8 2 10 29 NA NA NA
35 60 65 11 49 135 NA 18 6 8 6 28 NA 2 NA
32 67 74 34 76 167 NA 20 8 6 13 22 1 NA NA
21 44 67 31 43 119 NA 21 11 5 5 23 NA NA NA
28 79 73 29 55 149 NA 13 12 6 8 20 NA NA NA
17 43 66 35 82 162 NA 10 11 9 7 16 NA NA NA
30 77 80 12 51 107 1 16 10 9 14 20 NA NA NA
6 40 40 29 55 114 NA 14 6 5 9 24 NA NA NA
25 75 72 41 65 120 NA 12 6 3 11 28 2 NA NA
10 41 77 27 47 142 1 20 21 7 7 22 NA NA NA
20 49 57 29 46 132 NA 15 14 3 14 27 NA NA NA
22 49 62 23 55 146 1 8 6 10 6 37 NA 2 NA
18 42 60 32 55 102 2 13 14 10 10 21 NA NA NA
20 54 54 23 42 134 NA 19 15 1 11 24 NA 1 NA
28 55 54 37 50 129 NA 24 15 11 5 25 NA NA NA
24 34 58 45 63 147 NA 24 7 4 8 26 NA 1 NA
21 64 75 33 62 119 1 27 26 11 12 22 NA NA NA
10 36 64 31 62 129 NA 11 11 5 5 29 NA NA NA
17 48 55 33 72 143 1 18 10 3 6 15 NA NA NA
17 64 58 35 78 157 NA 10 7 7 7 17 NA NA NA
24 57 55 38 57 116 NA 13 16 1 6 20 1 NA NA
17 58 73 31 55 143 2 6 11 7 5 33 1 NA NA
20 66 63 31 68 122 NA 17 8 8 1 29 NA NA NA
40 79 78 41 59 94 3 17 16 2 11 30 NA 1 NA
6 32 45 20 47 123 NA 12 5 4 9 17 NA NA NA
8 35 48 24 37 152 1 4 5 5 8 31 NA NA NA
19 57 78 25 44 110 1 8 5 6 9 26 NA 1 NA
29 65 63 40 57 148 1 14 4 7 11 25 NA 1 NA
13 52 86 27 57 151 NA 21 6 5 12 21 NA NA NA
6 37 59 31 61 133 1 14 6 10 6 29 NA 1 NA
13 47 68 30 44 128 NA 15 16 8 2 22 NA 1 NA
8 32 48 23 32 115 1 21 17 5 8 27 1 NA NA
21 49 63 24 44 130 NA 32 9 8 10 29 NA 2 3
29 57 66 39 28 131 NA 10 10 3 9 26 NA NA NA
22 58 84 28 52 114 NA 18 14 8 16 19 NA NA NA
36 67 83 37 65 136 4 13 10 3 9 31 1 1 1
28 76 72 49 86 131 2 11 5 8 6 21 NA 1 NA
23 59 55 33 43 128 1 11 4 12 4 24 NA NA NA
25 70 77 30 80 113 NA 18 14 6 12 19 NA NA NA
14 28 64 21 70 132 NA 22 17 4 9 24 NA NA NA
18 25 80 25 64 126 NA 11 9 5 10 22 1 NA NA
22 72 71 45 78 124 NA 25 18 9 9 20 NA NA NA
22 54 64 33 40 106 2 15 16 7 13 37 NA NA NA
21 67 67 27 53 131 NA 15 9 8 3 31 1 1 NA
17 52 49 40 67 145 NA 15 13 8 7 23 NA NA NA
22 47 64 30 61 134 NA 17 20 5 4 28 NA NA NA
19 45 57 27 22 121 NA 13 8 3 5 20 NA NA NA
26 71 64 41 39 118 NA 15 10 10 8 26 NA NA NA
29 30 58 31 61 125 NA 12 15 2 7 16 NA NA NA
24 58 69 39 78 149 NA 5 17 11 13 20 NA NA NA
20 56 60 28 76 106 1 22 16 5 15 23 1 2 NA
16 48 59 35 68 153 NA 18 8 5 7 25 NA NA NA
23 57 62 15 56 117 1 16 7 NA 7 24 1 NA NA
18 47 73 36 66 137 NA 9 16 11 11 28 NA 1 NA
21 57 69 17 62 116 1 7 8 2 13 18 NA 1 NA
16 48 80 20 63 122 NA 20 10 8 7 22 NA NA NA
16 48 63 26 64 113 1 17 12 2 7 15 NA 1 NA
13 39 70 26 58 121 3 19 12 5 7 16 NA NA NA
16 72 65 26 48 129 1 19 14 2 8 16 NA NA NA
26 72 89 30 77 119 NA 12 17 9 15 21 NA NA NA
17 47 59 40 49 114 NA 20 8 1 10 24 NA 2 NA
11 50 54 35 65 136 1 7 8 4 6 16 NA NA NA
16 52 67 22 74 141 1 12 9 2 4 21 NA 1 NA
26 70 90 12 69 123 1 5 11 1 5 20 NA 3 NA
14 41 48 24 36 136 NA 8 13 9 5 28 NA 1 NA
20 62 74 29 53 124 NA 19 14 4 5 13 NA NA NA
14 49 51 28 55 126 2 18 10 4 7 28 NA NA NA
16 40 62 26 56 112 NA 3 8 3 13 21 NA NA NA
32 33 58 53 33 136 NA 18 12 10 7 16 NA NA NA
18 48 63 26 50 124 NA 16 10 3 7 24 NA NA NA
12 39 62 22 54 152 NA 22 20 11 12 24 NA 1 NA
23 80 65 45 63 156 NA 22 17 1 10 25 NA 1 NA
11 50 82 30 54 136 1 16 15 7 11 33 NA 1 NA
20 57 53 26 71 144 NA 9 15 7 7 18 NA 2 NA
20 50 64 40 56 120 NA 8 13 14 7 15 1 1 2
19 56 74 34 67 125 3 8 9 6 4 28 2 NA NA
21 63 86 33 62 146 3 13 12 2 6 23 NA 1 NA
21 48 53 33 57 114 NA 15 11 9 13 36 NA 1 NA
22 29 66 33 55 141 NA 16 4 1 8 26 NA NA NA
15 61 57 35 46 123 3 10 12 2 8 20 NA NA NA
21 51 54 27 42 135 NA 13 13 5 19 32 NA 2 NA
