"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.04 NA 0.97 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 70 11 71 10 100 1.49
"3" "kuku" 613 0 0 1 NA 406 31 401 30 100 1.51
"4" "pkd" 187 0 0 1 NA 125 17 128 10 100 1.5
"5" "pku" 722 0 0 1 NA 497 52 506 44 100 1.45
"6" "pp" 1764 0 0 1 NA 1364 50 1359 45 100 1.29
"7" "tdkd" 16 0.53 NA 0.57 NA 16 4 16 4 100 1
"8" "tdku" 39 0.03 NA 0.98 NA 19 8 18 7 100 2.05
"9" "tdp" 298 0.02 NA 0.98 NA 254 28 259 15 100 1.17
"10" "tdtd" 21 0.91 NA 0.14 NA 27 5 27 4 100 0.78
"11" "tukd" 26 0.65 NA 0.39 NA 28 7 28 8 100 0.93
"12" "tuku" 0 1 NA 0.7 NA 0 1 0 0 100 NA
"13" "tup" 177 0.05 NA 0.95 NA 142 21 140 20 100 1.25
"14" "tutd" 62 0.32 NA 0.71 NA 55 14 53 14 100 1.13
"15" "tutu" 1075 0 0 1 NA 773 44 772 41 100 1.39
