"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 11 4 11 4 100 3.36
"2" "kukd" 21 0.16 NA 0.94 NA 16 4 17 3 100 1.31
"3" "kuku" 16 0.31 NA 0.87 NA 15 2 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 67 10 69 6 100 1.49
"5" "pku" 31 0.05 NA 0.98 NA 25 6 27 3 100 1.24
"6" "pp" 227 0 0 1 NA 162 6 162 7 100 1.4
"7" "tdkd" 12 0.58 NA 0.5 NA 13 5 12 4 100 0.92
"8" "tdku" 5 0.25 NA 0.94 NA 3 2 3 1 100 1.67
"9" "tdp" 93 0.04 NA 0.98 NA 76 11 77 7 100 1.22
"10" "tdtd" 22 0.32 NA 0.76 NA 19 5 18 6 100 1.16
"11" "tukd" 16 0.86 NA 0.16 NA 21 5 22 2 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0.01 NA 1 NA 34 8 36 4 100 1.29
"14" "tutd" 8 1 NA 0.01 NA 20 4 20 3 100 0.4
"15" "tutu" 30 0.09 NA 0.94 NA 27 2 26 2 100 1.11
