"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 13 6 12 7 100 2.77
"2" "kukd" 95 0 0 1 NA 46 10 47 9 100 2.07
"3" "kuku" 324 0 0 1 NA 133 16 135 15 100 2.44
"4" "pkd" 175 0 0 1 NA 55 10 55 9 100 3.18
"5" "pku" 266 0 0 1 NA 98 16 97 15 100 2.71
"6" "pp" 1883 0 0 1 NA 304 27 302 21 100 6.19
"7" "tdkd" 33 0 0 1 NA 11 5 10 4 100 3
"8" "tdku" 15 0.01 NA 0.99 NA 5 3 4 3 100 3
"9" "tdp" 101 0 0 1 NA 49 9 48 8 100 2.06
"10" "tdtd" 38 0.01 NA 0.99 NA 18 7 17 7 100 2.11
"11" "tukd" 23 0.09 NA 0.93 NA 15 5 14 4 100 1.53
"12" "tuku" 0 1 NA 0.82 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 44 11 44 8 100 2.36
"14" "tutd" 15 0.31 NA 0.77 NA 11 5 11 6 100 1.36
"15" "tutu" 236 0 0 1 NA 167 18 164 18 100 1.41
