"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 180 0 0 1 NA 37 15 32 13 100 4.86
"2" "kukd" 266 0 0 1 NA 128 19 128 19 100 2.08
"3" "kuku" 1216 0 0 1 NA 609 42 608 39 100 2
"4" "pkd" 653 0 0 1 NA 274 20 274 21 100 2.38
"5" "pku" 1320 0 0 1 NA 757 57 760 40 100 1.74
"6" "pp" 13269 0 0 1 NA 2632 69 2633 67 100 5.04
"7" "tdkd" 61 0.04 NA 0.97 NA 33 14 30 12 100 1.85
"8" "tdku" 38 0 0 1 NA 17 6 16 6 100 2.24
"9" "tdp" 766 0 0 1 NA 309 25 307 24 100 2.48
"10" "tdtd" 157 0.02 NA 0.98 NA 72 35 66 31 100 2.18
"11" "tukd" 53 0.5 NA 0.53 NA 53 10 52 10 100 1
"12" "tuku" 0 1 NA 0.59 NA 1 1 0 0 100 0
"13" "tup" 266 0.01 NA 0.99 NA 212 22 210 17 100 1.25
"14" "tutd" 52 0.41 NA 0.63 NA 49 10 49 9 100 1.06
"15" "tutu" 2005 0 0 1 NA 1247 60 1246 64 100 1.61
